prob_thr,strategy,model,base_sensitivity,best_q_thr,val_sensitivity,val_specificity,val_FP_reduction_pct,sensitivity,specificity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.0,Baseline,-,1.0,-,1.0,0.0,0.0,1.0,0.0,0.0,730,5321,0,0,-,-
0.0,Single,LR,1.0,0.92,0.8085,0.8442,84.42,0.8151,0.8444,84.44,595,828,135,4493,0.8959,0.0632
0.0,Single,MLP,1.0,0.45,0.8009,0.8353,83.53,0.6849,0.9199,91.99,500,426,230,4895,0.8903,0.0942
0.0,Single,XGB,1.0,0.89,0.81,0.854,85.4,0.8164,0.8589,85.89,596,751,134,4570,0.9114,0.0601
0.01,Baseline,-,0.9894,-,0.9894,0.2564,0.0,0.9932,0.2377,0.0,725,4056,5,1265,-,-
0.01,Single,LR,0.9894,0.92,0.8055,0.8419,78.74,0.8219,0.8399,78.99,600,852,130,4469,0.8764,0.0784
0.01,Single,MLP,0.9894,0.62,0.8009,0.838,78.22,0.9192,0.5587,42.11,671,2348,59,2973,0.8619,0.2217
0.01,Single,XGB,0.9894,0.89,0.8055,0.8555,80.57,0.8096,0.857,81.24,591,761,139,4560,0.8916,0.075
0.02,Baseline,-,0.9711,-,0.9711,0.4442,0.0,0.9712,0.4456,0.0,709,2950,21,2371,-,-
0.02,Single,LR,0.9711,0.92,0.8191,0.8314,69.67,0.8219,0.832,69.69,600,894,130,4427,0.856,0.0978
0.02,Single,MLP,0.9711,0.35,0.8024,0.7753,59.57,0.574,0.9513,91.22,419,259,311,5062,0.8446,0.1342
0.02,Single,XGB,0.9711,0.89,0.807,0.8541,73.76,0.8151,0.859,74.58,595,750,135,4571,0.8723,0.0933
0.03,Baseline,-,0.9438,-,0.9438,0.5916,0.0,0.9397,0.5847,0.0,686,2210,44,3111,-,-
0.03,Single,LR,0.9438,0.91,0.8131,0.8407,61.01,0.8151,0.8416,61.86,595,843,135,4478,0.8446,0.116
0.03,Single,MLP,0.9438,0.71,0.8024,0.8159,54.92,0.7192,0.8974,75.29,525,546,205,4775,0.8299,0.131
0.03,Single,XGB,0.9438,0.89,0.807,0.8582,65.29,0.8123,0.8609,66.52,593,740,137,4581,0.8628,0.1102
0.04,Baseline,-,0.9164,-,0.9164,0.6687,0.0,0.9178,0.6662,0.0,670,1776,60,3545,-,-
0.04,Single,LR,0.9164,0.91,0.8207,0.8308,48.94,0.8192,0.8341,50.28,598,883,132,4438,0.8345,0.1312
0.04,Single,MLP,0.9164,0.8,0.8055,0.8361,50.53,0.626,0.9393,81.81,457,323,273,4998,0.8195,0.1402
0.04,Single,XGB,0.9164,0.9,0.8146,0.8456,53.4,0.826,0.85,55.07,603,798,127,4523,0.8504,0.1246
0.05,Baseline,-,0.8951,-,0.8951,0.7246,0.0,0.8973,0.7232,0.0,655,1473,75,3848,-,-
0.05,Single,LR,0.8951,0.9,0.804,0.8473,44.57,0.8096,0.8476,44.94,591,811,139,4510,0.8259,0.1438
0.05,Single,MLP,0.8951,0.75,0.8055,0.8339,39.7,0.6767,0.926,73.25,494,394,236,4927,0.8134,0.1463
0.05,Single,XGB,0.8951,0.9,0.8131,0.8503,45.63,0.8219,0.8513,46.3,600,791,130,4530,0.8435,0.1368
0.06,Baseline,-,0.8769,-,0.8769,0.7578,0.0,0.8795,0.7609,0.0,642,1272,88,4049,-,-
0.06,Single,LR,0.8769,0.9,0.8024,0.8468,36.73,0.8068,0.8468,35.93,589,815,141,4506,0.815,0.1541
0.06,Single,MLP,0.8769,0.53,0.8055,0.8363,32.4,0.4808,0.9797,91.51,351,108,379,5213,0.8007,0.1609
0.06,Single,XGB,0.8769,0.89,0.8055,0.8563,40.66,0.8055,0.8626,42.53,588,731,142,4590,0.8379,0.1453
0.07,Baseline,-,0.8571,-,0.8571,0.7856,0.0,0.863,0.7923,0.0,630,1105,100,4216,-,-
0.07,Single,LR,0.8571,0.91,0.8131,0.8398,25.27,0.8192,0.8414,23.62,598,844,132,4477,0.8073,0.1633
0.07,Single,MLP,0.8571,0.78,0.8009,0.8347,22.92,0.8411,0.8124,9.68,614,998,116,4323,0.7862,0.2722
0.07,Single,XGB,0.8571,0.89,0.804,0.8573,33.42,0.8178,0.8579,31.58,597,756,133,4565,0.8286,0.1545
0.08,Baseline,-,0.8404,-,0.8404,0.8093,0.0,0.8466,0.8119,0.0,618,1001,112,4320,-,-
0.08,Single,LR,0.8404,0.91,0.8024,0.8423,17.31,0.8164,0.8438,16.98,596,831,134,4490,0.8017,0.169
0.08,Single,MLP,0.8404,0.9,0.8009,0.8415,16.9,0.8425,0.8126,0.4,615,997,115,4324,0.7657,0.2729
0.08,Single,XGB,0.8404,0.89,0.804,0.8514,22.1,0.8151,0.8551,22.98,595,771,135,4550,0.8236,0.1593
0.09,Baseline,-,0.8222,-,0.8222,0.831,0.0,0.8356,0.8305,0.0,610,902,120,4419,-,-
0.09,Single,LR,0.8222,0.92,0.8009,0.8481,10.11,0.8137,0.8481,10.42,594,808,136,4513,0.7954,0.1757
0.09,Single,MLP,0.8222,0.81,0.8009,0.8483,10.23,0.8123,0.8455,8.87,593,822,137,4499,0.7616,0.2611
0.09,Single,XGB,0.8222,0.9,0.8009,0.8536,13.33,0.8137,0.8551,14.52,594,771,136,4550,0.8163,0.1662
0.1,Baseline,-,0.8055,-,0.8055,0.8495,0.0,0.8233,0.8463,0.0,601,818,129,4503,-,-
0.1,Single,LR,0.8055,1.0,0.8024,0.8501,0.39,0.8192,0.847,0.49,598,814,132,4507,0.7845,0.1828
0.1,Single,MLP,0.8055,0.98,0.8055,0.8518,1.55,0.8205,0.8465,0.12,599,817,131,4504,0.7657,0.2343
0.1,Single,XGB,0.8055,0.91,0.8009,0.8565,4.65,0.8192,0.8555,5.99,598,769,132,4552,0.8105,0.171
0.11,Baseline,-,0.7888,-,0.7888,0.8619,0.0,0.8123,0.8602,0.0,593,744,137,4577,-,-
0.12,Baseline,-,0.7796,-,0.7796,0.872,0.0,0.8027,0.8737,0.0,586,672,144,4649,-,-
0.13,Baseline,-,0.7705,-,0.7705,0.8817,0.0,0.7836,0.8869,0.0,572,602,158,4719,-,-
0.14,Baseline,-,0.7584,-,0.7584,0.8864,0.0,0.7712,0.8959,0.0,563,554,167,4767,-,-
0.15,Baseline,-,0.7477,-,0.7477,0.894,0.0,0.7603,0.9026,0.0,555,518,175,4803,-,-
0.16,Baseline,-,0.7356,-,0.7356,0.9004,0.0,0.7466,0.9085,0.0,545,487,185,4834,-,-
0.17,Baseline,-,0.7234,-,0.7234,0.906,0.0,0.7356,0.9154,0.0,537,450,193,4871,-,-
0.18,Baseline,-,0.7112,-,0.7112,0.9142,0.0,0.7192,0.9216,0.0,525,417,205,4904,-,-
0.19,Baseline,-,0.6991,-,0.6991,0.9184,0.0,0.711,0.926,0.0,519,394,211,4927,-,-
0.2,Baseline,-,0.69,-,0.69,0.9225,0.0,0.6959,0.9303,0.0,508,371,222,4950,-,-
0.21,Baseline,-,0.6824,-,0.6824,0.9266,0.0,0.6863,0.935,0.0,501,346,229,4975,-,-
0.22,Baseline,-,0.6733,-,0.6733,0.9297,0.0,0.6699,0.9384,0.0,489,328,241,4993,-,-
0.23,Baseline,-,0.6626,-,0.6626,0.934,0.0,0.663,0.9402,0.0,484,318,246,5003,-,-
0.24,Baseline,-,0.6565,-,0.6565,0.9375,0.0,0.6575,0.9432,0.0,480,302,250,5019,-,-
0.25,Baseline,-,0.6505,-,0.6505,0.9402,0.0,0.6479,0.9464,0.0,473,285,257,5036,-,-
0.26,Baseline,-,0.6444,-,0.6444,0.9427,0.0,0.6384,0.9478,0.0,466,278,264,5043,-,-
0.27,Baseline,-,0.6368,-,0.6368,0.945,0.0,0.6342,0.9525,0.0,463,253,267,5068,-,-
0.28,Baseline,-,0.6292,-,0.6292,0.9476,0.0,0.6247,0.9538,0.0,456,246,274,5075,-,-
0.29,Baseline,-,0.6231,-,0.6231,0.9485,0.0,0.611,0.956,0.0,446,234,284,5087,-,-
