prob_thr,strategy,model,base_sensitivity,best_q_thr,val_sensitivity,val_specificity,val_FP_reduction_pct,sensitivity,specificity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.0,Baseline,-,1.0,-,1.0,0.0,0.0,1.0,0.0,0.0,730,5321,0,0,-,-
0.0,Single,LR,1.0,0.92,0.807,0.8458,84.58,0.8192,0.8495,84.95,598,801,132,4520,0.8997,0.0618
0.0,Single,MLP,1.0,0.7,0.8009,0.8336,83.36,0.8877,0.6737,67.37,648,1736,82,3585,0.8902,0.135
0.0,Single,XGB,1.0,0.89,0.8024,0.8551,85.51,0.8192,0.8583,85.83,598,754,132,4567,0.9148,0.059
0.01,Baseline,-,0.9924,-,0.9924,0.2554,0.0,0.9918,0.2402,0.0,724,4043,6,1278,-,-
0.01,Single,LR,0.9924,0.92,0.81,0.8417,78.74,0.8219,0.8436,79.42,600,832,130,4489,0.8796,0.077
0.01,Single,MLP,0.9924,0.9,0.8116,0.8068,74.05,0.889,0.6912,59.36,649,1643,81,3678,0.8718,0.0942
0.01,Single,XGB,0.9924,0.89,0.804,0.8573,80.83,0.8151,0.856,81.05,595,766,135,4555,0.897,0.0737
0.02,Baseline,-,0.9742,-,0.9742,0.4463,0.0,0.9781,0.4443,0.0,714,2957,16,2364,-,-
0.02,Single,LR,0.9742,0.91,0.8024,0.8508,73.06,0.8151,0.8519,73.35,595,788,135,4533,0.856,0.0972
0.02,Single,MLP,0.9742,0.62,0.8024,0.8345,70.12,0.8863,0.7091,47.65,647,1548,83,3773,0.8444,0.2382
0.02,Single,XGB,0.9742,0.89,0.8085,0.8507,73.03,0.8205,0.8557,74.03,599,768,131,4553,0.8737,0.0926
0.03,Baseline,-,0.9514,-,0.9514,0.5747,0.0,0.9521,0.5693,0.0,695,2292,35,3029,-,-
0.03,Single,LR,0.9514,0.91,0.804,0.8491,64.52,0.8137,0.851,65.4,594,793,136,4528,0.8463,0.1138
0.03,Single,MLP,0.9514,0.72,0.8009,0.8217,58.08,0.6575,0.9327,84.38,480,358,250,4963,0.8275,0.1186
0.03,Single,XGB,0.9514,0.89,0.807,0.852,65.21,0.8137,0.8559,66.54,594,767,136,4554,0.8649,0.1076
