prob_thr,strategy,model,base_sensitivity,best_q_thr,val_sensitivity,val_specificity,val_FP_reduction_pct,sensitivity,specificity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.0,Baseline,-,1.0,-,1.0,0.0,0.0,1.0,0.0,0.0,730,5321,0,0,-,-
0.0,Single,LR,1.0,0.91,0.81,0.8468,84.68,0.8192,0.8474,84.74,598,812,132,4509,0.9004,0.0621
0.0,Single,MLP,1.0,0.48,0.8024,0.8392,83.92,0.6548,0.9337,93.37,478,353,252,4968,0.896,0.0742
0.0,Single,XGB,1.0,0.89,0.8176,0.8571,85.71,0.8137,0.8604,86.04,594,743,136,4578,0.9135,0.0599
0.01,Baseline,-,0.997,-,0.997,0.1874,0.0,0.9959,0.1744,0.0,727,4393,3,928,-,-
0.01,Single,LR,0.997,0.91,0.804,0.8448,80.9,0.8178,0.8451,81.24,597,824,133,4497,0.8829,0.073
0.01,Single,MLP,0.997,0.59,0.8009,0.8444,80.86,0.7712,0.8692,84.16,563,696,167,4625,0.8727,0.1081
0.01,Single,XGB,0.997,0.88,0.807,0.8644,83.32,0.8082,0.8713,84.41,590,685,140,4636,0.8989,0.0704
0.02,Baseline,-,0.9818,-,0.9818,0.3828,0.0,0.9849,0.3772,0.0,719,3314,11,2007,-,-
0.02,Single,LR,0.9818,0.91,0.8055,0.8417,74.35,0.8205,0.8427,74.74,599,837,131,4484,0.8609,0.0904
0.02,Single,MLP,0.9818,0.35,0.81,0.7965,67.02,0.8205,0.7824,65.06,599,1158,131,4163,0.8448,0.284
0.02,Single,XGB,0.9818,0.89,0.8116,0.8545,76.43,0.8205,0.8617,77.79,599,736,131,4585,0.8768,0.0867
0.03,Baseline,-,0.9574,-,0.9574,0.5263,0.0,0.9616,0.5307,0.0,702,2497,28,2824,-,-
0.03,Single,LR,0.9574,0.9,0.8009,0.8551,69.41,0.8082,0.8542,68.92,590,776,140,4545,0.8477,0.1089
0.03,Single,MLP,0.9574,0.55,0.8009,0.8205,62.12,0.6808,0.9216,83.3,497,417,233,4904,0.8293,0.1295
0.03,Single,XGB,0.9574,0.88,0.8009,0.8689,72.32,0.8082,0.8711,72.53,590,686,140,4635,0.8658,0.104
0.04,Baseline,-,0.9316,-,0.9316,0.623,0.0,0.9342,0.62,0.0,682,2022,48,3299,-,-
0.04,Single,LR,0.9316,0.9,0.8055,0.854,61.26,0.811,0.8527,61.23,592,784,138,4537,0.8417,0.1219
0.04,Single,MLP,0.9316,0.7,0.804,0.8429,58.32,0.8836,0.7091,23.44,645,1548,85,3773,0.8147,0.2767
0.04,Single,XGB,0.9316,0.89,0.81,0.8609,63.11,0.8123,0.8632,64.0,593,728,137,4593,0.8584,0.1164
0.05,Baseline,-,0.9134,-,0.9134,0.685,0.0,0.9123,0.6861,0.0,666,1670,64,3651,-,-
0.05,Single,LR,0.9134,0.9,0.8055,0.8505,52.53,0.8151,0.8498,52.16,595,799,135,4522,0.8368,0.1338
0.05,Single,MLP,0.9134,0.81,0.804,0.8303,46.12,0.8534,0.766,25.45,623,1245,107,4076,0.8163,0.213
0.05,Single,XGB,0.9134,0.89,0.8085,0.8578,54.87,0.8178,0.8596,55.27,597,747,133,4574,0.8518,0.1284
0.06,Baseline,-,0.8936,-,0.8936,0.7279,0.0,0.9,0.7296,0.0,657,1439,73,3882,-,-
0.06,Single,LR,0.8936,0.9,0.8024,0.8481,44.18,0.8164,0.847,43.43,596,814,134,4507,0.8258,0.1445
0.06,Single,MLP,0.8936,0.72,0.8009,0.8289,37.12,0.8466,0.7957,24.46,618,1087,112,4234,0.8055,0.2412
0.06,Single,XGB,0.8936,0.89,0.8085,0.8578,47.75,0.8178,0.859,47.88,597,750,133,4571,0.8396,0.1394
0.07,Baseline,-,0.8769,-,0.8769,0.7621,0.0,0.8849,0.7625,0.0,646,1264,84,4057,-,-
0.07,Single,LR,0.8769,0.9,0.807,0.8501,36.98,0.8151,0.8474,35.76,595,812,135,4509,0.8163,0.1539
0.07,Single,MLP,0.8769,0.84,0.804,0.8487,36.41,0.8123,0.8292,28.09,593,909,137,4412,0.7925,0.1747
0.07,Single,XGB,0.8769,0.88,0.804,0.8695,45.14,0.8068,0.8703,45.41,589,690,141,4631,0.8344,0.1473
0.08,Baseline,-,0.8617,-,0.8617,0.7899,0.0,0.8699,0.7895,0.0,635,1120,95,4201,-,-
0.08,Single,LR,0.8617,0.91,0.8176,0.8404,24.03,0.8233,0.8382,23.12,601,861,129,4460,0.8097,0.1613
0.08,Single,MLP,0.8617,0.49,0.8009,0.8477,27.54,0.7753,0.8568,31.96,566,762,164,4559,0.7756,0.2976
0.08,Single,XGB,0.8617,0.89,0.81,0.8563,31.61,0.8219,0.8559,31.52,600,767,130,4554,0.8246,0.1563
0.09,Baseline,-,0.848,-,0.848,0.8077,0.0,0.8521,0.8092,0.0,622,1015,108,4306,-,-
0.09,Single,LR,0.848,0.91,0.807,0.8462,20.0,0.8137,0.8453,18.92,594,823,136,4498,0.8056,0.1669
0.09,Single,MLP,0.848,0.79,0.8055,0.8454,19.6,0.7562,0.8846,39.51,552,614,178,4707,0.7884,0.1771
0.09,Single,XGB,0.848,0.89,0.8085,0.8536,23.84,0.8055,0.8566,24.83,588,763,142,4558,0.8216,0.1596
0.1,Baseline,-,0.8298,-,0.8298,0.8273,0.0,0.8411,0.8256,0.0,614,928,116,4393,-,-
0.1,Single,LR,0.8298,0.92,0.8024,0.8479,11.92,0.8164,0.8465,11.96,596,817,134,4504,0.7999,0.173
0.1,Single,MLP,0.8298,0.87,0.8055,0.8536,15.19,0.7425,0.8949,39.76,542,559,188,4762,0.7803,0.1838
0.1,Single,XGB,0.8298,0.9,0.8055,0.8522,14.4,0.8151,0.8559,17.35,595,767,135,4554,0.8161,0.1656
0.11,Baseline,-,0.8161,-,0.8161,0.8435,0.0,0.8301,0.8427,0.0,606,837,124,4484,-,-
0.11,Single,LR,0.8161,0.95,0.804,0.8495,3.85,0.8164,0.8468,2.63,596,815,134,4506,0.7898,0.18
0.11,Single,MLP,0.8161,0.85,0.804,0.8507,4.59,0.8178,0.8542,7.29,597,776,133,4545,0.7746,0.2384
0.11,Single,XGB,0.8161,0.9,0.804,0.8586,9.68,0.8164,0.8609,11.59,596,740,134,4581,0.8093,0.1714
0.12,Baseline,-,0.7994,-,0.7994,0.8571,0.0,0.8178,0.8557,0.0,597,768,133,4553,-,-
0.13,Baseline,-,0.7872,-,0.7872,0.8674,0.0,0.8068,0.8669,0.0,589,708,141,4613,-,-
0.14,Baseline,-,0.7751,-,0.7751,0.8747,0.0,0.7986,0.8799,0.0,583,639,147,4682,-,-
0.15,Baseline,-,0.7599,-,0.7599,0.8844,0.0,0.7863,0.891,0.0,574,580,156,4741,-,-
0.16,Baseline,-,0.7508,-,0.7508,0.8907,0.0,0.7767,0.8998,0.0,567,533,163,4788,-,-
0.17,Baseline,-,0.7432,-,0.7432,0.8959,0.0,0.7603,0.9053,0.0,555,504,175,4817,-,-
0.18,Baseline,-,0.7325,-,0.7325,0.9021,0.0,0.7466,0.9113,0.0,545,472,185,4849,-,-
0.19,Baseline,-,0.7249,-,0.7249,0.907,0.0,0.7315,0.916,0.0,534,447,196,4874,-,-
0.2,Baseline,-,0.7112,-,0.7112,0.9145,0.0,0.7192,0.9224,0.0,525,413,205,4908,-,-
0.21,Baseline,-,0.6991,-,0.6991,0.9178,0.0,0.7041,0.9261,0.0,514,393,216,4928,-,-
0.22,Baseline,-,0.696,-,0.696,0.9239,0.0,0.6959,0.9308,0.0,508,368,222,4953,-,-
0.23,Baseline,-,0.6839,-,0.6839,0.9289,0.0,0.6863,0.9344,0.0,501,349,229,4972,-,-
0.24,Baseline,-,0.6733,-,0.6733,0.934,0.0,0.6712,0.9395,0.0,490,322,240,4999,-,-
0.25,Baseline,-,0.6641,-,0.6641,0.938,0.0,0.6616,0.9436,0.0,483,300,247,5021,-,-
0.26,Baseline,-,0.6565,-,0.6565,0.94,0.0,0.6548,0.9459,0.0,478,288,252,5033,-,-
0.27,Baseline,-,0.6444,-,0.6444,0.9429,0.0,0.6438,0.9487,0.0,470,273,260,5048,-,-
0.28,Baseline,-,0.6368,-,0.6368,0.945,0.0,0.6411,0.9517,0.0,468,257,262,5064,-,-
0.29,Baseline,-,0.6277,-,0.6277,0.947,0.0,0.6329,0.954,0.0,462,245,268,5076,-,-
0.3,Baseline,-,0.6201,-,0.6201,0.9495,0.0,0.6192,0.956,0.0,452,234,278,5087,-,-
0.31,Baseline,-,0.6079,-,0.6079,0.9509,0.0,0.6082,0.9573,0.0,444,227,286,5094,-,-
0.32,Baseline,-,0.6033,-,0.6033,0.9534,0.0,0.5973,0.9594,0.0,436,216,294,5105,-,-
0.33,Baseline,-,0.5836,-,0.5836,0.9551,0.0,0.5808,0.9602,0.0,424,212,306,5109,-,-
0.34,Baseline,-,0.5775,-,0.5775,0.9582,0.0,0.5712,0.962,0.0,417,202,313,5119,-,-
0.35,Baseline,-,0.5638,-,0.5638,0.9602,0.0,0.5658,0.9647,0.0,413,188,317,5133,-,-
0.36,Baseline,-,0.5547,-,0.5547,0.9623,0.0,0.5575,0.9662,0.0,407,180,323,5141,-,-
0.37,Baseline,-,0.5502,-,0.5502,0.9635,0.0,0.5466,0.9675,0.0,399,173,331,5148,-,-
0.38,Baseline,-,0.5486,-,0.5486,0.966,0.0,0.5411,0.969,0.0,395,165,335,5156,-,-
0.39,Baseline,-,0.535,-,0.535,0.9672,0.0,0.5342,0.9707,0.0,390,156,340,5165,-,-
0.4,Baseline,-,0.5304,-,0.5304,0.9693,0.0,0.5247,0.9718,0.0,383,150,347,5171,-,-
0.41,Baseline,-,0.5274,-,0.5274,0.9705,0.0,0.5164,0.9729,0.0,377,144,353,5177,-,-
0.42,Baseline,-,0.5152,-,0.5152,0.9718,0.0,0.5055,0.9739,0.0,369,139,361,5182,-,-
0.43,Baseline,-,0.5,-,0.5,0.9734,0.0,0.4986,0.9752,0.0,364,132,366,5189,-,-
0.44,Baseline,-,0.4954,-,0.4954,0.9746,0.0,0.4959,0.9767,0.0,362,124,368,5197,-,-
0.45,Baseline,-,0.4939,-,0.4939,0.9753,0.0,0.4904,0.978,0.0,358,117,372,5204,-,-
0.46,Baseline,-,0.4863,-,0.4863,0.9759,0.0,0.4877,0.9782,0.0,356,116,374,5205,-,-
0.47,Baseline,-,0.4787,-,0.4787,0.9771,0.0,0.4781,0.9793,0.0,349,110,381,5211,-,-
0.48,Baseline,-,0.4696,-,0.4696,0.9782,0.0,0.4726,0.9806,0.0,345,103,385,5218,-,-
0.49,Baseline,-,0.4574,-,0.4574,0.9788,0.0,0.4671,0.981,0.0,341,101,389,5220,-,-
0.5,Baseline,-,0.4468,-,0.4468,0.9796,0.0,0.4589,0.9821,0.0,335,95,395,5226,-,-
0.51,Baseline,-,0.4362,-,0.4362,0.981,0.0,0.4479,0.9833,0.0,327,89,403,5232,-,-
0.52,Baseline,-,0.4301,-,0.4301,0.9815,0.0,0.4356,0.9838,0.0,318,86,412,5235,-,-
0.53,Baseline,-,0.4286,-,0.4286,0.9823,0.0,0.426,0.9844,0.0,311,83,419,5238,-,-
0.54,Baseline,-,0.4179,-,0.4179,0.9827,0.0,0.4137,0.9852,0.0,302,79,428,5242,-,-
0.55,Baseline,-,0.4073,-,0.4073,0.9839,0.0,0.4041,0.9857,0.0,295,76,435,5245,-,-
0.56,Baseline,-,0.4043,-,0.4043,0.9841,0.0,0.3932,0.9868,0.0,287,70,443,5251,-,-
0.57,Baseline,-,0.3951,-,0.3951,0.9854,0.0,0.3918,0.9876,0.0,286,66,444,5255,-,-
0.58,Baseline,-,0.3936,-,0.3936,0.986,0.0,0.3822,0.9882,0.0,279,63,451,5258,-,-
0.59,Baseline,-,0.383,-,0.383,0.9864,0.0,0.3767,0.9889,0.0,275,59,455,5262,-,-
0.6,Baseline,-,0.3723,-,0.3723,0.9872,0.0,0.3685,0.9899,0.0,269,54,461,5267,-,-
0.61,Baseline,-,0.3647,-,0.3647,0.9882,0.0,0.3548,0.9906,0.0,259,50,471,5271,-,-
0.62,Baseline,-,0.3556,-,0.3556,0.9883,0.0,0.3479,0.9906,0.0,254,50,476,5271,-,-
0.63,Baseline,-,0.348,-,0.348,0.9893,0.0,0.3411,0.991,0.0,249,48,481,5273,-,-
0.64,Baseline,-,0.3389,-,0.3389,0.9895,0.0,0.3315,0.9912,0.0,242,47,488,5274,-,-
0.65,Baseline,-,0.3343,-,0.3343,0.9897,0.0,0.3219,0.9914,0.0,235,46,495,5275,-,-
0.66,Baseline,-,0.3267,-,0.3267,0.9897,0.0,0.3123,0.9919,0.0,228,43,502,5278,-,-
0.67,Baseline,-,0.3176,-,0.3176,0.9903,0.0,0.3027,0.9919,0.0,221,43,509,5278,-,-
0.68,Baseline,-,0.304,-,0.304,0.9909,0.0,0.2959,0.9927,0.0,216,39,514,5282,-,-
0.69,Baseline,-,0.2948,-,0.2948,0.9911,0.0,0.2904,0.993,0.0,212,37,518,5284,-,-
0.7,Baseline,-,0.2918,-,0.2918,0.9916,0.0,0.2808,0.993,0.0,205,37,525,5284,-,-
0.71,Baseline,-,0.2827,-,0.2827,0.9918,0.0,0.2699,0.9936,0.0,197,34,533,5287,-,-
0.72,Baseline,-,0.2751,-,0.2751,0.9918,0.0,0.2575,0.9944,0.0,188,30,542,5291,-,-
0.73,Baseline,-,0.269,-,0.269,0.992,0.0,0.2493,0.9947,0.0,182,28,548,5293,-,-
0.74,Baseline,-,0.2614,-,0.2614,0.9928,0.0,0.2356,0.9951,0.0,172,26,558,5295,-,-
0.75,Baseline,-,0.2553,-,0.2553,0.9932,0.0,0.2288,0.9953,0.0,167,25,563,5296,-,-
0.76,Baseline,-,0.2477,-,0.2477,0.9938,0.0,0.2178,0.9955,0.0,159,24,571,5297,-,-
0.77,Baseline,-,0.2356,-,0.2356,0.9944,0.0,0.2068,0.9959,0.0,151,22,579,5299,-,-
0.78,Baseline,-,0.228,-,0.228,0.9946,0.0,0.1959,0.9962,0.0,143,20,587,5301,-,-
0.79,Baseline,-,0.2143,-,0.2143,0.9948,0.0,0.1904,0.9962,0.0,139,20,591,5301,-,-
