prob_thr,strategy,model,base_sensitivity,best_q_thr,val_sensitivity,val_specificity,val_FP_reduction_pct,sensitivity,specificity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.0,Baseline,-,1.0,-,1.0,0.0,0.0,1.0,0.0,0.0,730,5321,0,0,-,-
0.0,Single,LR,1.0,0.92,0.8116,0.8365,83.65,0.8151,0.8451,84.51,595,824,135,4497,0.8928,0.0639
0.0,Single,MLP,1.0,0.78,0.8055,0.8198,81.98,0.9205,0.6078,60.78,672,2087,58,3234,0.8939,0.1236
0.0,Single,XGB,1.0,0.89,0.8131,0.8495,84.95,0.8151,0.8562,85.62,595,765,135,4556,0.9106,0.0612
0.01,Baseline,-,0.9894,-,0.9894,0.2826,0.0,0.9849,0.2947,0.0,719,3753,11,1568,-,-
0.01,Single,LR,0.9894,0.91,0.807,0.8489,78.94,0.8055,0.8534,79.22,588,780,142,4541,0.8674,0.0832
0.01,Single,MLP,0.9894,0.66,0.8085,0.8277,75.99,0.7712,0.8716,81.8,563,683,167,4638,0.8632,0.1115
0.01,Single,XGB,0.9894,0.89,0.8055,0.8507,79.18,0.8164,0.8624,80.5,596,732,134,4589,0.8874,0.0801
0.02,Baseline,-,0.9635,-,0.9635,0.4964,0.0,0.9644,0.4839,0.0,704,2746,26,2575,-,-
0.02,Single,LR,0.9635,0.91,0.8131,0.8407,68.38,0.8096,0.8442,69.81,591,829,139,4492,0.8484,0.1033
0.02,Single,MLP,0.9635,0.75,0.8009,0.824,65.06,0.8425,0.7561,52.73,615,1298,115,4023,0.8414,0.1646
0.02,Single,XGB,0.9635,0.89,0.807,0.8495,70.11,0.8192,0.8602,72.91,598,744,132,4577,0.8689,0.0991
0.03,Baseline,-,0.9362,-,0.9362,0.6092,0.0,0.9315,0.6055,0.0,680,2099,50,3222,-,-
0.03,Single,LR,0.9362,0.91,0.8146,0.8351,57.8,0.811,0.8386,59.08,592,859,138,4462,0.8435,0.1201
0.03,Single,MLP,0.9362,0.69,0.8024,0.8196,53.83,0.889,0.7019,24.44,649,1586,81,3735,0.8382,0.226
0.03,Single,XGB,0.9362,0.89,0.8055,0.8507,61.78,0.8205,0.8587,64.17,599,752,131,4569,0.8635,0.1155
0.04,Baseline,-,0.9119,-,0.9119,0.6801,0.0,0.9055,0.6865,0.0,661,1668,69,3653,-,-
0.04,Single,LR,0.9119,0.9,0.8024,0.8464,51.97,0.8041,0.8487,51.74,587,805,143,4516,0.8303,0.1355
0.04,Single,MLP,0.9119,0.79,0.8085,0.8204,43.84,0.8877,0.7125,8.27,648,1530,82,3791,0.806,0.2623
0.04,Single,XGB,0.9119,0.89,0.8146,0.8508,53.37,0.8192,0.8621,56.0,598,734,132,4587,0.8546,0.1295
0.05,Baseline,-,0.8967,-,0.8967,0.7273,0.0,0.8863,0.738,0.0,647,1394,83,3927,-,-
0.05,Single,LR,0.8967,0.9,0.8024,0.8454,43.3,0.8068,0.8465,41.39,589,817,141,4504,0.8165,0.1495
0.05,Single,MLP,0.8967,0.77,0.804,0.8347,39.39,0.8767,0.7549,6.46,640,1304,90,4017,0.8034,0.2836
0.05,Single,XGB,0.8967,0.9,0.8085,0.838,40.6,0.8356,0.8489,42.32,610,804,120,4517,0.8439,0.1418
0.06,Baseline,-,0.8678,-,0.8678,0.7648,0.0,0.8616,0.776,0.0,629,1192,101,4129,-,-
0.06,Single,LR,0.8678,0.9,0.804,0.8446,33.94,0.7945,0.8481,32.21,580,808,150,4513,0.8089,0.1584
0.06,Single,MLP,0.8678,0.9,0.804,0.8225,24.53,0.7671,0.8786,45.81,560,646,170,4675,0.8092,0.1623
0.06,Single,XGB,0.8678,0.9,0.8085,0.8421,32.87,0.8274,0.8491,32.63,604,803,126,4518,0.8397,0.1489
0.07,Baseline,-,0.8465,-,0.8465,0.7934,0.0,0.8562,0.804,0.0,625,1043,105,4278,-,-
0.07,Single,LR,0.8465,0.91,0.8055,0.8347,20.02,0.811,0.8386,17.64,592,859,138,4462,0.7937,0.1693
0.07,Single,MLP,0.8465,0.83,0.8024,0.8433,24.15,0.8521,0.8077,1.92,622,1023,108,4298,0.7753,0.2562
0.07,Single,XGB,0.8465,0.9,0.8085,0.8369,21.05,0.8274,0.8465,21.67,604,817,126,4504,0.8187,0.1616
0.08,Baseline,-,0.8267,-,0.8267,0.8182,0.0,0.8466,0.8226,0.0,618,944,112,4377,-,-
0.08,Single,LR,0.8267,0.92,0.804,0.8411,12.61,0.8096,0.8423,11.12,591,839,139,4482,0.7812,0.1782
0.08,Single,MLP,0.8267,0.89,0.8009,0.8421,13.14,0.7603,0.8743,29.13,555,669,175,4652,0.7568,0.1981
0.08,Single,XGB,0.8267,0.9,0.8024,0.8442,14.32,0.8205,0.8483,14.51,599,807,131,4514,0.8065,0.1692
0.09,Baseline,-,0.8131,-,0.8131,0.8351,0.0,0.8315,0.8399,0.0,607,852,123,4469,-,-
0.09,Single,LR,0.8131,0.93,0.8009,0.8479,7.77,0.8082,0.8481,5.16,590,808,140,4513,0.7779,0.1826
0.09,Single,MLP,0.8131,0.96,0.8024,0.8411,3.65,0.8301,0.8421,1.41,606,840,124,4481,0.7771,0.1952
0.09,Single,XGB,0.8131,0.91,0.8024,0.8439,5.3,0.8219,0.8474,4.69,600,812,130,4509,0.7987,0.1755
0.1,Baseline,-,0.8024,-,0.8024,0.845,0.0,0.8151,0.8551,0.0,595,771,135,4550,-,-
0.1,Single,MLP,0.8024,0.83,0.8009,0.8473,1.5,0.8151,0.8562,0.78,595,765,135,4556,0.7659,0.2217
0.1,Single,XGB,0.8024,0.92,0.8009,0.8481,2.01,0.8137,0.8574,1.56,594,759,136,4562,0.7993,0.1776
0.11,Baseline,-,0.7872,-,0.7872,0.8549,0.0,0.8082,0.8683,0.0,590,701,140,4620,-,-
0.12,Baseline,-,0.7766,-,0.7766,0.8646,0.0,0.8014,0.8775,0.0,585,652,145,4669,-,-
0.13,Baseline,-,0.7736,-,0.7736,0.8745,0.0,0.7959,0.8869,0.0,581,602,149,4719,-,-
0.14,Baseline,-,0.7644,-,0.7644,0.8827,0.0,0.7849,0.8927,0.0,573,571,157,4750,-,-
0.15,Baseline,-,0.7492,-,0.7492,0.891,0.0,0.7726,0.8964,0.0,564,551,166,4770,-,-
0.16,Baseline,-,0.7325,-,0.7325,0.8975,0.0,0.7589,0.9025,0.0,554,519,176,4802,-,-
0.17,Baseline,-,0.7234,-,0.7234,0.9037,0.0,0.7466,0.9077,0.0,545,491,185,4830,-,-
0.18,Baseline,-,0.7204,-,0.7204,0.9099,0.0,0.7411,0.9119,0.0,541,469,189,4852,-,-
0.19,Baseline,-,0.7128,-,0.7128,0.9126,0.0,0.7342,0.9169,0.0,536,442,194,4879,-,-
0.2,Baseline,-,0.7021,-,0.7021,0.9188,0.0,0.7233,0.922,0.0,528,415,202,4906,-,-
0.21,Baseline,-,0.693,-,0.693,0.9233,0.0,0.7055,0.9263,0.0,515,392,215,4929,-,-
0.22,Baseline,-,0.6854,-,0.6854,0.9264,0.0,0.6932,0.9301,0.0,506,372,224,4949,-,-
0.23,Baseline,-,0.6824,-,0.6824,0.9293,0.0,0.6836,0.9322,0.0,499,361,231,4960,-,-
0.24,Baseline,-,0.6702,-,0.6702,0.9328,0.0,0.674,0.9359,0.0,492,341,238,4980,-,-
0.25,Baseline,-,0.6611,-,0.6611,0.9344,0.0,0.6685,0.9372,0.0,488,334,242,4987,-,-
0.26,Baseline,-,0.6489,-,0.6489,0.9379,0.0,0.6616,0.9404,0.0,483,317,247,5004,-,-
0.27,Baseline,-,0.6337,-,0.6337,0.9406,0.0,0.6548,0.9429,0.0,478,304,252,5017,-,-
0.28,Baseline,-,0.6246,-,0.6246,0.9437,0.0,0.6452,0.9451,0.0,471,292,259,5029,-,-
0.29,Baseline,-,0.6201,-,0.6201,0.9464,0.0,0.6356,0.9466,0.0,464,284,266,5037,-,-
