prob_thr,strategy,model,base_sensitivity,best_q_thr,val_sensitivity,val_specificity,val_FP_reduction_pct,sensitivity,specificity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.0,Baseline,-,1.0,-,1.0,0.0,0.0,1.0,0.0,0.0,835,5234,0,0,-,-
0.0,Single,LR,1.0,0.59,0.8046,0.708,70.8,0.8527,0.7205,72.05,712,1463,123,3771,0.8642,0.1505
0.0,Single,MLP,1.0,0.57,0.8005,0.696,69.6,0.7605,0.7749,77.49,635,1178,200,4056,0.8572,0.1208
0.0,Single,XGB,1.0,0.88,0.8059,0.7244,72.44,0.8467,0.7316,73.16,707,1405,128,3829,0.8745,0.0847
0.01,Baseline,-,0.9933,-,0.9933,0.1865,0.0,0.994,0.1897,0.0,830,4241,5,993,-,-
0.01,Single,LR,0.9933,0.63,0.8086,0.7096,64.3,0.8515,0.7228,65.79,711,1451,124,3783,0.8412,0.1622
0.01,Single,MLP,0.9933,0.54,0.8032,0.6875,61.58,0.9234,0.5911,49.54,771,2140,64,3094,0.8348,0.244
0.01,Single,XGB,0.9933,0.88,0.8005,0.7254,66.25,0.8455,0.7331,67.06,706,1397,129,3837,0.852,0.1
0.02,Baseline,-,0.9853,-,0.9853,0.3258,0.0,0.9856,0.3384,0.0,823,3463,12,1771,-,-
0.02,Single,LR,0.9853,0.66,0.8032,0.7096,56.93,0.8491,0.7249,58.42,709,1440,126,3794,0.814,0.1738
0.02,Single,MLP,0.9853,0.68,0.8046,0.6893,53.91,0.915,0.5877,37.68,764,2158,71,3076,0.8035,0.2091
0.02,Single,XGB,0.9853,0.88,0.8032,0.7252,59.24,0.8491,0.7354,60.01,709,1385,126,3849,0.8269,0.1165
0.03,Baseline,-,0.9705,-,0.9705,0.4154,0.0,0.9784,0.4188,0.0,817,3042,18,2192,-,-
0.03,Single,LR,0.9705,0.68,0.8005,0.7086,50.15,0.8479,0.7239,52.5,708,1445,127,3789,0.7968,0.1799
0.03,Single,MLP,0.9705,0.74,0.8032,0.6719,43.87,0.8084,0.74,55.26,675,1361,160,3873,0.7794,0.1562
0.03,Single,XGB,0.9705,0.89,0.8179,0.7066,49.81,0.8587,0.7146,50.89,717,1494,118,3740,0.806,0.1287
0.04,Baseline,-,0.9491,-,0.9491,0.4804,0.0,0.9701,0.479,0.0,810,2727,25,2507,-,-
0.04,Single,LR,0.9491,0.7,0.8032,0.7043,43.08,0.8515,0.7188,46.02,711,1472,124,3762,0.7821,0.1854
0.04,Single,MLP,0.9491,0.85,0.8153,0.7096,44.11,0.9533,0.5424,12.17,796,2395,39,2839,0.7727,0.2388
0.04,Single,XGB,0.9491,0.89,0.8193,0.707,43.61,0.8587,0.7132,44.96,717,1501,118,3733,0.7905,0.1385
0.05,Baseline,-,0.9317,-,0.9317,0.5277,0.0,0.9593,0.5338,0.0,801,2440,34,2794,-,-
0.05,Single,LR,0.9317,0.71,0.8005,0.706,37.77,0.8527,0.7193,39.8,712,1469,123,3765,0.7681,0.1913
