prob_thr,strategy,model,base_sensitivity,best_q_thr,val_sensitivity,val_specificity,val_FP_reduction_pct,sensitivity,specificity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.0,Baseline,-,1.0,-,1.0,0.0,0.0,1.0,0.0,0.0,835,5234,0,0,-,-
0.0,Single,LR,1.0,0.56,0.8019,0.7141,71.41,0.8539,0.7268,72.68,713,1430,122,3804,0.8685,0.1503
0.0,Single,MLP,1.0,0.4,0.8086,0.676,67.6,0.9521,0.5206,52.06,795,2509,40,2725,0.8568,0.3072
0.0,Single,XGB,1.0,0.89,0.8032,0.7137,71.37,0.8539,0.7241,72.41,713,1444,122,3790,0.8759,0.0846
0.01,Baseline,-,0.9946,-,0.9946,0.1719,0.0,0.994,0.1807,0.0,830,4288,5,946,-,-
0.01,Single,LR,0.9946,0.61,0.8032,0.7102,65.0,0.8551,0.7237,66.28,714,1446,121,3788,0.8465,0.1611
0.01,Single,MLP,0.9946,0.52,0.8005,0.6906,62.64,0.9461,0.5134,40.6,790,2547,45,2687,0.8339,0.2832
0.01,Single,XGB,0.9946,0.89,0.8099,0.712,65.22,0.8563,0.7201,65.83,715,1465,120,3769,0.8542,0.099
0.02,Baseline,-,0.988,-,0.988,0.3005,0.0,0.9892,0.3116,0.0,826,3603,9,1631,-,-
0.02,Single,LR,0.988,0.65,0.8059,0.7068,58.09,0.8599,0.7201,59.34,718,1465,117,3769,0.8227,0.1709
0.02,Single,MLP,0.988,0.28,0.8072,0.6742,53.43,0.1593,0.9895,98.47,133,55,702,5179,0.7923,0.1243
0.02,Single,XGB,0.988,0.89,0.8046,0.709,58.4,0.8503,0.7254,60.12,710,1437,125,3797,0.8277,0.1141
0.03,Baseline,-,0.9813,-,0.9813,0.3803,0.0,0.9856,0.3938,0.0,823,3173,12,2061,-,-
0.03,Single,LR,0.9813,0.67,0.8019,0.7088,53.01,0.8587,0.7239,54.46,717,1445,118,3789,0.803,0.1777
0.03,Single,MLP,0.9813,0.76,0.8086,0.6721,47.08,0.8132,0.7147,52.95,679,1493,156,3741,0.7781,0.1566
0.03,Single,XGB,0.9813,0.89,0.8099,0.7134,53.75,0.8503,0.7245,54.55,710,1442,125,3792,0.8072,0.1258
0.04,Baseline,-,0.9612,-,0.9612,0.4465,0.0,0.9808,0.4528,0.0,819,2864,16,2370,-,-
0.04,Single,LR,0.9612,0.69,0.8032,0.7074,47.14,0.8563,0.7209,48.99,715,1461,120,3773,0.7889,0.1827
0.04,Single,MLP,0.9612,0.7,0.8032,0.6993,45.68,0.9102,0.5988,26.68,760,2100,75,3134,0.7669,0.2128
0.04,Single,XGB,0.9612,0.89,0.8019,0.7151,48.54,0.8491,0.7249,49.72,709,1440,126,3794,0.7917,0.1349
0.05,Baseline,-,0.9465,-,0.9465,0.498,0.0,0.9653,0.5017,0.0,806,2608,29,2626,-,-
0.05,Single,LR,0.9465,0.7,0.8005,0.7104,42.31,0.8527,0.7253,44.86,712,1438,123,3796,0.7806,0.1866
0.05,Single,MLP,0.9465,0.8,0.8072,0.6991,40.06,0.9461,0.5537,10.43,790,2336,45,2898,0.7708,0.2379
0.05,Single,XGB,0.9465,0.89,0.8019,0.7122,42.66,0.8515,0.7245,44.71,711,1442,124,3792,0.7836,0.1425
0.06,Baseline,-,0.9317,-,0.9317,0.5441,0.0,0.9509,0.5457,0.0,794,2378,41,2856,-,-
0.06,Single,LR,0.9317,0.72,0.8032,0.7025,34.75,0.8551,0.7195,38.27,714,1468,121,3766,0.7723,0.1903
0.06,Single,MLP,0.9317,0.52,0.8086,0.7041,35.1,0.7713,0.7831,52.27,644,1135,191,4099,0.7561,0.2305
0.06,Single,XGB,0.9317,0.89,0.8139,0.711,36.61,0.8539,0.7245,39.36,713,1442,122,3792,0.7748,0.1504
0.07,Baseline,-,0.913,-,0.913,0.5761,0.0,0.9377,0.5833,0.0,783,2181,52,3053,-,-
0.07,Single,LR,0.913,0.74,0.8139,0.695,28.05,0.8671,0.7104,30.49,724,1516,111,3718,0.7648,0.1936
0.07,Single,MLP,0.913,0.64,0.8005,0.7147,32.71,0.703,0.8212,57.08,587,936,248,4298,0.7362,0.1836
0.07,Single,XGB,0.913,0.89,0.8046,0.7088,31.31,0.8563,0.7239,33.75,715,1445,120,3789,0.7664,0.1573
0.08,Baseline,-,0.8956,-,0.8956,0.6112,0.0,0.915,0.6139,0.0,764,2021,71,3213,-,-
0.08,Single,LR,0.8956,0.75,0.8099,0.6968,22.0,0.8659,0.7105,25.04,723,1515,112,3719,0.7649,0.1949
0.08,Single,MLP,0.8956,0.74,0.8086,0.6999,22.82,0.4335,0.9352,83.23,362,339,473,4895,0.7324,0.1738
0.08,Single,XGB,0.8956,0.89,0.8153,0.706,24.39,0.8563,0.7197,27.41,715,1467,120,3767,0.7678,0.1607
0.09,Baseline,-,0.8768,-,0.8768,0.6393,0.0,0.9114,0.6441,0.0,761,1863,74,3371,-,-
0.09,Single,LR,0.8768,0.77,0.8072,0.7005,16.98,0.8683,0.7121,19.11,725,1507,110,3727,0.7495,0.1993
0.09,Single,MLP,0.8768,0.81,0.8005,0.7147,20.92,0.8671,0.7002,15.78,724,1569,111,3665,0.7204,0.2022
0.09,Single,XGB,0.8768,0.89,0.8046,0.7112,19.93,0.8551,0.7237,22.38,714,1446,121,3788,0.7524,0.1693
0.1,Baseline,-,0.8514,-,0.8514,0.6653,0.0,0.903,0.671,0.0,754,1722,81,3512,-,-
0.1,Single,LR,0.8514,0.79,0.8059,0.707,12.46,0.8659,0.7165,13.82,723,1484,112,3750,0.7355,0.2037
0.1,Single,MLP,0.8514,0.94,0.8153,0.7213,16.71,0.9006,0.6729,0.58,752,1712,83,3522,0.7259,0.244
0.1,Single,XGB,0.8514,0.9,0.8153,0.7066,12.34,0.8731,0.7144,13.18,729,1495,106,3739,0.7447,0.1759
0.11,Baseline,-,0.8367,-,0.8367,0.6891,0.0,0.8802,0.6983,0.0,735,1579,100,3655,-,-
0.11,Single,LR,0.8367,0.83,0.8005,0.7108,6.99,0.8623,0.7174,6.33,720,1479,115,3755,0.7284,0.2069
0.11,Single,MLP,0.8367,0.56,0.8019,0.7217,10.48,0.479,0.9352,78.53,400,339,435,4895,0.7206,0.1889
0.11,Single,XGB,0.8367,0.91,0.8099,0.7088,6.35,0.8659,0.7188,6.78,723,1472,112,3762,0.7415,0.1807
0.12,Baseline,-,0.8246,-,0.8246,0.71,0.0,0.8479,0.7224,0.0,708,1453,127,3781,-,-
0.12,Single,LR,0.8246,0.87,0.8019,0.7187,3.0,0.8371,0.7312,3.17,699,1407,136,3827,0.7274,0.2091
0.12,Single,MLP,0.8246,0.86,0.8046,0.7333,8.04,0.8455,0.7281,2.06,706,1423,129,3811,0.7172,0.2071
0.12,Single,XGB,0.8246,0.92,0.8072,0.7201,3.47,0.8455,0.7306,2.96,706,1410,129,3824,0.7391,0.1849
0.13,Baseline,-,0.7979,-,0.7979,0.7311,0.0,0.8299,0.7432,0.0,693,1344,142,3890,-,-
0.14,Baseline,-,0.7885,-,0.7885,0.7539,0.0,0.8144,0.7627,0.0,680,1242,155,3992,-,-
0.15,Baseline,-,0.7631,-,0.7631,0.7697,0.0,0.7988,0.7801,0.0,667,1151,168,4083,-,-
0.16,Baseline,-,0.7323,-,0.7323,0.7882,0.0,0.776,0.7984,0.0,648,1055,187,4179,-,-
0.17,Baseline,-,0.7122,-,0.7122,0.8062,0.0,0.7485,0.8175,0.0,625,955,210,4279,-,-
0.18,Baseline,-,0.6921,-,0.6921,0.823,0.0,0.7317,0.8321,0.0,611,879,224,4355,-,-
0.19,Baseline,-,0.6693,-,0.6693,0.8372,0.0,0.7114,0.846,0.0,594,806,241,4428,-,-
0.2,Baseline,-,0.6506,-,0.6506,0.8516,0.0,0.6838,0.8613,0.0,571,726,264,4508,-,-
0.21,Baseline,-,0.6305,-,0.6305,0.8637,0.0,0.6587,0.8739,0.0,550,660,285,4574,-,-
0.22,Baseline,-,0.6118,-,0.6118,0.8761,0.0,0.6335,0.8836,0.0,529,609,306,4625,-,-
0.23,Baseline,-,0.5863,-,0.5863,0.8844,0.0,0.5988,0.8928,0.0,500,561,335,4673,-,-
0.24,Baseline,-,0.5663,-,0.5663,0.8939,0.0,0.5784,0.901,0.0,483,518,352,4716,-,-
0.25,Baseline,-,0.5368,-,0.5368,0.9016,0.0,0.5689,0.9104,0.0,475,469,360,4765,-,-
0.26,Baseline,-,0.5127,-,0.5127,0.9107,0.0,0.5497,0.9186,0.0,459,426,376,4808,-,-
0.27,Baseline,-,0.4926,-,0.4926,0.917,0.0,0.5257,0.9255,0.0,439,390,396,4844,-,-
0.28,Baseline,-,0.4712,-,0.4712,0.9212,0.0,0.5078,0.9327,0.0,424,352,411,4882,-,-
0.29,Baseline,-,0.4525,-,0.4525,0.9267,0.0,0.4874,0.9377,0.0,407,326,428,4908,-,-
0.3,Baseline,-,0.4351,-,0.4351,0.9326,0.0,0.4587,0.9431,0.0,383,298,452,4936,-,-
0.31,Baseline,-,0.4217,-,0.4217,0.9358,0.0,0.4419,0.9488,0.0,369,268,466,4966,-,-
0.32,Baseline,-,0.3976,-,0.3976,0.9411,0.0,0.4216,0.9536,0.0,352,243,483,4991,-,-
0.33,Baseline,-,0.3896,-,0.3896,0.9457,0.0,0.4012,0.9589,0.0,335,215,500,5019,-,-
0.34,Baseline,-,0.3681,-,0.3681,0.9488,0.0,0.3832,0.9635,0.0,320,191,515,5043,-,-
0.35,Baseline,-,0.3467,-,0.3467,0.954,0.0,0.3653,0.9656,0.0,305,180,530,5054,-,-
0.36,Baseline,-,0.332,-,0.332,0.9587,0.0,0.3521,0.9675,0.0,294,170,541,5064,-,-
0.37,Baseline,-,0.3119,-,0.3119,0.9621,0.0,0.3389,0.9698,0.0,283,158,552,5076,-,-
0.38,Baseline,-,0.2999,-,0.2999,0.9664,0.0,0.3257,0.9719,0.0,272,147,563,5087,-,-
0.39,Baseline,-,0.2905,-,0.2905,0.9696,0.0,0.3102,0.9742,0.0,259,135,576,5099,-,-
0.4,Baseline,-,0.2798,-,0.2798,0.9712,0.0,0.3006,0.9754,0.0,251,129,584,5105,-,-
0.41,Baseline,-,0.2637,-,0.2637,0.9733,0.0,0.279,0.9771,0.0,233,120,602,5114,-,-
0.42,Baseline,-,0.2544,-,0.2544,0.9757,0.0,0.2647,0.9788,0.0,221,111,614,5123,-,-
0.43,Baseline,-,0.2343,-,0.2343,0.9767,0.0,0.2467,0.9803,0.0,206,103,629,5131,-,-
0.44,Baseline,-,0.2222,-,0.2222,0.9773,0.0,0.2347,0.9817,0.0,196,96,639,5138,-,-
0.45,Baseline,-,0.2155,-,0.2155,0.9781,0.0,0.2228,0.983,0.0,186,89,649,5145,-,-
0.46,Baseline,-,0.2088,-,0.2088,0.9789,0.0,0.2132,0.9845,0.0,178,81,657,5153,-,-
0.47,Baseline,-,0.2021,-,0.2021,0.9812,0.0,0.2048,0.9855,0.0,171,76,664,5158,-,-
0.48,Baseline,-,0.1914,-,0.1914,0.9824,0.0,0.1988,0.987,0.0,166,68,669,5166,-,-
0.49,Baseline,-,0.1794,-,0.1794,0.984,0.0,0.1916,0.9885,0.0,160,60,675,5174,-,-
0.5,Baseline,-,0.1714,-,0.1714,0.9852,0.0,0.1784,0.9891,0.0,149,57,686,5177,-,-
0.51,Baseline,-,0.166,-,0.166,0.9864,0.0,0.1677,0.9897,0.0,140,54,695,5180,-,-
0.52,Baseline,-,0.158,-,0.158,0.9878,0.0,0.1557,0.9899,0.0,130,53,705,5181,-,-
0.53,Baseline,-,0.1486,-,0.1486,0.9887,0.0,0.1473,0.9903,0.0,123,51,712,5183,-,-
0.54,Baseline,-,0.1406,-,0.1406,0.9895,0.0,0.1389,0.9908,0.0,116,48,719,5186,-,-
0.55,Baseline,-,0.1352,-,0.1352,0.9909,0.0,0.1341,0.9918,0.0,112,43,723,5191,-,-
0.56,Baseline,-,0.1299,-,0.1299,0.9915,0.0,0.1269,0.9927,0.0,106,38,729,5196,-,-
0.57,Baseline,-,0.1245,-,0.1245,0.9919,0.0,0.1186,0.9935,0.0,99,34,736,5200,-,-
0.58,Baseline,-,0.1111,-,0.1111,0.9921,0.0,0.1114,0.9941,0.0,93,31,742,5203,-,-
0.59,Baseline,-,0.1058,-,0.1058,0.9935,0.0,0.1066,0.9945,0.0,89,29,746,5205,-,-
0.6,Baseline,-,0.1017,-,0.1017,0.9943,0.0,0.0982,0.9947,0.0,82,28,753,5206,-,-
0.61,Baseline,-,0.095,-,0.095,0.9945,0.0,0.0898,0.9952,0.0,75,25,760,5209,-,-
0.62,Baseline,-,0.087,-,0.087,0.9951,0.0,0.0874,0.9956,0.0,73,23,762,5211,-,-
0.63,Baseline,-,0.0803,-,0.0803,0.9951,0.0,0.0838,0.9958,0.0,70,22,765,5212,-,-
0.64,Baseline,-,0.075,-,0.075,0.9951,0.0,0.0814,0.996,0.0,68,21,767,5213,-,-
0.65,Baseline,-,0.0723,-,0.0723,0.9955,0.0,0.0814,0.9962,0.0,68,20,767,5214,-,-
0.66,Baseline,-,0.0616,-,0.0616,0.9957,0.0,0.0754,0.9964,0.0,63,19,772,5215,-,-
0.67,Baseline,-,0.0576,-,0.0576,0.9957,0.0,0.0719,0.9966,0.0,60,18,775,5216,-,-
0.68,Baseline,-,0.0562,-,0.0562,0.996,0.0,0.0659,0.9966,0.0,55,18,780,5216,-,-
0.69,Baseline,-,0.0535,-,0.0535,0.996,0.0,0.0623,0.9966,0.0,52,18,783,5216,-,-
0.7,Baseline,-,0.0509,-,0.0509,0.9968,0.0,0.0575,0.9969,0.0,48,16,787,5218,-,-
0.71,Baseline,-,0.0495,-,0.0495,0.997,0.0,0.0551,0.9973,0.0,46,14,789,5220,-,-
0.72,Baseline,-,0.0495,-,0.0495,0.9972,0.0,0.0503,0.9977,0.0,42,12,793,5222,-,-
0.73,Baseline,-,0.0469,-,0.0469,0.9972,0.0,0.0479,0.9979,0.0,40,11,795,5223,-,-
0.74,Baseline,-,0.0428,-,0.0428,0.9976,0.0,0.0455,0.9983,0.0,38,9,797,5225,-,-
0.75,Baseline,-,0.0402,-,0.0402,0.9978,0.0,0.0431,0.9987,0.0,36,7,799,5227,-,-
0.76,Baseline,-,0.0388,-,0.0388,0.998,0.0,0.0371,0.9987,0.0,31,7,804,5227,-,-
0.77,Baseline,-,0.0375,-,0.0375,0.9982,0.0,0.0371,0.9989,0.0,31,6,804,5228,-,-
0.78,Baseline,-,0.0348,-,0.0348,0.9986,0.0,0.0335,0.999,0.0,28,5,807,5229,-,-
0.79,Baseline,-,0.0295,-,0.0295,0.9986,0.0,0.0323,0.999,0.0,27,5,808,5229,-,-
0.8,Baseline,-,0.0281,-,0.0281,0.9988,0.0,0.0287,0.9992,0.0,24,4,811,5230,-,-
0.81,Baseline,-,0.0241,-,0.0241,0.9988,0.0,0.0251,0.9992,0.0,21,4,814,5230,-,-
0.82,Baseline,-,0.0228,-,0.0228,0.999,0.0,0.024,0.9994,0.0,20,3,815,5231,-,-
0.83,Baseline,-,0.0201,-,0.0201,0.999,0.0,0.0204,0.9994,0.0,17,3,818,5231,-,-
0.84,Baseline,-,0.0187,-,0.0187,0.999,0.0,0.0168,0.9994,0.0,14,3,821,5231,-,-
0.85,Baseline,-,0.0174,-,0.0174,0.999,0.0,0.0156,0.9994,0.0,13,3,822,5231,-,-
0.86,Baseline,-,0.0147,-,0.0147,0.9992,0.0,0.0132,0.9994,0.0,11,3,824,5231,-,-
0.87,Baseline,-,0.0147,-,0.0147,0.9992,0.0,0.0084,0.9994,0.0,7,3,828,5231,-,-
0.88,Baseline,-,0.0147,-,0.0147,0.9992,0.0,0.0072,0.9994,0.0,6,3,829,5231,-,-
0.89,Baseline,-,0.0147,-,0.0147,0.9992,0.0,0.0072,0.9994,0.0,6,3,829,5231,-,-
0.9,Baseline,-,0.012,-,0.012,0.9992,0.0,0.0072,0.9994,0.0,6,3,829,5231,-,-
0.91,Baseline,-,0.012,-,0.012,0.9992,0.0,0.0072,0.9994,0.0,6,3,829,5231,-,-
0.92,Baseline,-,0.0094,-,0.0094,0.9992,0.0,0.006,0.9994,0.0,5,3,830,5231,-,-
0.93,Baseline,-,0.0067,-,0.0067,0.9994,0.0,0.0048,0.9994,0.0,4,3,831,5231,-,-
0.94,Baseline,-,0.0054,-,0.0054,0.9996,0.0,0.0036,0.9994,0.0,3,3,832,5231,-,-
0.95,Baseline,-,0.004,-,0.004,0.9996,0.0,0.0036,0.9994,0.0,3,3,832,5231,-,-
0.96,Baseline,-,0.0,-,0.0,0.9996,0.0,0.0012,0.9994,0.0,1,3,834,5231,-,-
0.97,Baseline,-,0.0,-,0.0,0.9996,0.0,0.0,0.9996,0.0,0,2,835,5232,-,-
0.98,Baseline,-,0.0,-,0.0,0.9996,0.0,0.0,0.9996,0.0,0,2,835,5232,-,-
0.99,Baseline,-,0.0,-,0.0,0.9996,0.0,0.0,0.9996,0.0,0,2,835,5232,-,-
1.0,Baseline,-,0.0,-,0.0,0.9996,0.0,0.0,0.9998,0.0,0,1,835,5233,-,-
