prob_thr,strategy,model,base_sensitivity,best_q_thr,val_sensitivity,val_specificity,val_FP_reduction_pct,sensitivity,specificity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.0,Baseline,-,1.0,-,1.0,0.0,0.0,1.0,0.0,0.0,835,5234,0,0,-,-
0.0,Single,LR,1.0,0.57,0.8019,0.7165,71.65,0.8431,0.7302,73.02,704,1412,131,3822,0.8661,0.1507
0.0,Single,MLP,1.0,0.53,0.8072,0.6869,68.69,0.5928,0.8796,87.96,495,630,340,4604,0.8545,0.1032
0.0,Single,XGB,1.0,0.88,0.8019,0.7224,72.24,0.8479,0.7327,73.27,708,1399,127,3835,0.8756,0.0843
0.01,Baseline,-,0.996,-,0.996,0.1031,0.0,0.9952,0.1144,0.0,831,4635,4,599,-,-
0.01,Single,LR,0.996,0.61,0.8046,0.7084,67.49,0.8515,0.7237,68.8,711,1446,124,3788,0.8543,0.157
0.01,Single,MLP,0.996,0.55,0.8019,0.7096,67.62,0.915,0.6106,56.03,764,2038,71,3196,0.8504,0.2
0.01,Single,XGB,0.996,0.89,0.8166,0.7007,66.63,0.8623,0.7107,67.34,720,1514,115,3720,0.8625,0.0931
0.02,Baseline,-,0.9893,-,0.9893,0.2655,0.0,0.9892,0.2763,0.0,826,3788,9,1446,-,-
0.02,Single,LR,0.9893,0.64,0.8019,0.7147,61.16,0.8479,0.7283,62.46,708,1422,127,3812,0.828,0.1687
0.02,Single,MLP,0.9893,0.51,0.8019,0.6628,54.09,0.8287,0.7256,62.09,692,1436,143,3798,0.8188,0.2181
0.02,Single,XGB,0.9893,0.88,0.8032,0.7232,62.32,0.8467,0.7352,63.41,707,1386,128,3848,0.838,0.1094
0.03,Baseline,-,0.9799,-,0.9799,0.3657,0.0,0.9844,0.3701,0.0,822,3297,13,1937,-,-
0.03,Single,LR,0.9799,0.67,0.8059,0.71,54.28,0.8491,0.7224,55.93,709,1453,126,3781,0.8084,0.1755
0.03,Single,MLP,0.9799,0.61,0.8112,0.6989,52.54,0.576,0.8997,84.08,481,525,354,4709,0.7837,0.1327
0.03,Single,XGB,0.9799,0.88,0.8019,0.7222,56.21,0.8455,0.7342,57.81,706,1391,129,3843,0.8189,0.1215
0.04,Baseline,-,0.9625,-,0.9625,0.4366,0.0,0.976,0.4398,0.0,815,2932,20,2302,-,-
