prob_thr,strategy,model,base_sensitivity,best_q_thr,val_sensitivity,val_specificity,val_FP_reduction_pct,sensitivity,specificity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.0,Baseline,-,1.0,-,1.0,0.0,0.0,1.0,0.0,0.0,835,5234,0,0,-,-
0.0,Single,LR,1.0,0.91,0.8046,0.6829,68.29,0.8539,0.6928,69.28,713,1608,122,3626,0.8599,0.0877
0.0,Single,MLP,1.0,0.55,0.8032,0.6979,69.79,0.8335,0.6922,69.22,696,1611,139,3623,0.8563,0.1414
0.0,Single,XGB,1.0,0.89,0.8046,0.7056,70.56,0.8431,0.7197,71.97,704,1467,131,3767,0.8706,0.0858
0.01,Baseline,-,0.988,-,0.988,0.245,0.0,0.988,0.2587,0.0,825,3880,10,1354,-,-
0.01,Single,LR,0.988,0.91,0.8005,0.6723,56.59,0.8623,0.6859,57.63,720,1644,115,3590,0.8258,0.1108
0.01,Single,MLP,0.988,0.58,0.8019,0.697,59.86,0.9449,0.5082,33.66,789,2574,46,2660,0.8173,0.2603
0.01,Single,XGB,0.988,0.9,0.8139,0.6831,58.03,0.8623,0.6935,58.66,720,1604,115,3630,0.8319,0.1094
0.02,Baseline,-,0.9625,-,0.9625,0.3712,0.0,0.982,0.3894,0.0,820,3196,15,2038,-,-
0.02,Single,LR,0.9625,0.91,0.8112,0.6608,46.06,0.8707,0.6741,46.62,727,1706,108,3528,0.7977,0.128
0.02,Single,MLP,0.9625,0.53,0.8019,0.6788,48.92,0.9473,0.5264,22.43,791,2479,44,2755,0.7877,0.339
0.02,Single,XGB,0.9625,0.9,0.8139,0.6841,49.76,0.8647,0.6945,49.97,722,1599,113,3635,0.8026,0.1268
0.03,Baseline,-,0.9384,-,0.9384,0.4498,0.0,0.9677,0.4618,0.0,808,2817,27,2417,-,-
0.03,Single,LR,0.9384,0.91,0.8112,0.6507,36.52,0.8766,0.663,37.38,732,1764,103,3470,0.7837,0.1385
0.03,Single,MLP,0.9384,0.56,0.8019,0.6729,40.54,0.7389,0.7847,59.99,617,1127,218,4107,0.7601,0.1949
0.03,Single,XGB,0.9384,0.9,0.8086,0.6893,43.52,0.8635,0.6968,43.66,721,1587,114,3647,0.7915,0.1367
0.04,Baseline,-,0.921,-,0.921,0.5148,0.0,0.9533,0.5206,0.0,796,2509,39,2725,-,-
0.04,Single,LR,0.921,0.91,0.8126,0.6432,26.47,0.8778,0.6567,28.38,733,1797,102,3437,0.7731,0.1478
0.04,Single,MLP,0.921,0.61,0.8099,0.6744,32.9,0.8946,0.6316,23.16,747,1928,88,3306,0.7643,0.2419
0.04,Single,XGB,0.921,0.9,0.8019,0.6912,36.36,0.8671,0.6943,36.23,724,1600,111,3634,0.7786,0.1462
0.05,Baseline,-,0.8969,-,0.8969,0.5587,0.0,0.9365,0.5655,0.0,782,2274,53,2960,-,-
0.05,Single,LR,0.8969,0.91,0.8193,0.6424,18.98,0.8838,0.6551,20.62,738,1805,97,3429,0.7647,0.1561
0.05,Single,MLP,0.8969,0.73,0.8019,0.6997,31.96,0.7689,0.7558,43.8,642,1278,193,3956,0.7409,0.1813
0.05,Single,XGB,0.8969,0.9,0.8072,0.6889,29.5,0.8671,0.6935,29.46,724,1604,111,3630,0.7714,0.154
0.06,Baseline,-,0.8715,-,0.8715,0.597,0.0,0.915,0.6076,0.0,764,2054,71,3180,-,-
0.06,Single,LR,0.8715,0.91,0.8086,0.6565,14.75,0.8695,0.6704,16.02,726,1725,109,3509,0.7566,0.1635
0.06,Single,MLP,0.8715,0.86,0.8019,0.6873,22.4,0.8647,0.6901,21.03,722,1622,113,3612,0.7496,0.1694
0.06,Single,XGB,0.8715,0.9,0.8019,0.6898,23.04,0.8611,0.6981,23.08,719,1580,116,3654,0.7619,0.1622
0.07,Baseline,-,0.8434,-,0.8434,0.6296,0.0,0.8994,0.6391,0.0,751,1889,84,3345,-,-
0.07,Single,LR,0.8434,0.92,0.8072,0.6602,8.27,0.8671,0.6693,8.36,724,1731,111,3503,0.7498,0.1697
0.07,Single,MLP,0.8434,0.85,0.8046,0.6837,14.61,0.8826,0.6664,7.57,737,1746,98,3488,0.7351,0.2197
0.07,Single,XGB,0.8434,0.9,0.8059,0.69,16.32,0.8599,0.6966,15.93,718,1588,117,3646,0.7537,0.1682
0.08,Baseline,-,0.822,-,0.822,0.6573,0.0,0.8814,0.667,0.0,736,1743,99,3491,-,-
0.08,Single,LR,0.822,0.94,0.8019,0.6687,3.34,0.8635,0.6775,3.16,721,1688,114,3546,0.7448,0.1751
0.08,Single,MLP,0.822,0.72,0.8005,0.6766,5.65,0.8707,0.6828,4.76,727,1660,108,3574,0.7305,0.2966
0.08,Single,XGB,0.822,0.91,0.8059,0.6774,5.88,0.8659,0.6851,5.45,723,1648,112,3586,0.7445,0.1748
0.09,Baseline,-,0.7952,-,0.7952,0.6837,0.0,0.8635,0.6911,0.0,721,1617,114,3617,-,-
0.1,Baseline,-,0.7805,-,0.7805,0.7062,0.0,0.8479,0.713,0.0,708,1502,127,3732,-,-
0.11,Baseline,-,0.7671,-,0.7671,0.7268,0.0,0.8263,0.7354,0.0,690,1385,145,3849,-,-
0.12,Baseline,-,0.743,-,0.743,0.7458,0.0,0.8108,0.7556,0.0,677,1279,158,3955,-,-
0.13,Baseline,-,0.7242,-,0.7242,0.7618,0.0,0.7952,0.7742,0.0,664,1182,171,4052,-,-
0.14,Baseline,-,0.7082,-,0.7082,0.7783,0.0,0.7737,0.7902,0.0,646,1098,189,4136,-,-
0.15,Baseline,-,0.6854,-,0.6854,0.7953,0.0,0.7545,0.8034,0.0,630,1029,205,4205,-,-
0.16,Baseline,-,0.672,-,0.672,0.8102,0.0,0.7413,0.8162,0.0,619,962,216,4272,-,-
0.17,Baseline,-,0.6627,-,0.6627,0.8208,0.0,0.7305,0.8277,0.0,610,902,225,4332,-,-
0.18,Baseline,-,0.6412,-,0.6412,0.8315,0.0,0.7138,0.8382,0.0,596,847,239,4387,-,-
0.19,Baseline,-,0.6252,-,0.6252,0.8422,0.0,0.6922,0.8468,0.0,578,802,257,4432,-,-
0.2,Baseline,-,0.6104,-,0.6104,0.8497,0.0,0.6766,0.8552,0.0,565,758,270,4476,-,-
0.21,Baseline,-,0.5957,-,0.5957,0.8601,0.0,0.6671,0.8628,0.0,557,718,278,4516,-,-
0.22,Baseline,-,0.5823,-,0.5823,0.869,0.0,0.6587,0.8722,0.0,550,669,285,4565,-,-
0.23,Baseline,-,0.5609,-,0.5609,0.8761,0.0,0.6443,0.8793,0.0,538,632,297,4602,-,-
0.24,Baseline,-,0.5462,-,0.5462,0.8825,0.0,0.6263,0.8861,0.0,523,596,312,4638,-,-
0.25,Baseline,-,0.5341,-,0.5341,0.8896,0.0,0.6144,0.8943,0.0,513,553,322,4681,-,-
0.26,Baseline,-,0.5234,-,0.5234,0.8939,0.0,0.6024,0.9018,0.0,503,514,332,4720,-,-
0.27,Baseline,-,0.5114,-,0.5114,0.9006,0.0,0.5892,0.9071,0.0,492,486,343,4748,-,-
0.28,Baseline,-,0.506,-,0.506,0.9064,0.0,0.5749,0.9121,0.0,480,460,355,4774,-,-
0.29,Baseline,-,0.498,-,0.498,0.9101,0.0,0.5509,0.9175,0.0,460,432,375,4802,-,-
0.3,Baseline,-,0.4859,-,0.4859,0.9149,0.0,0.5389,0.9228,0.0,450,404,385,4830,-,-
0.31,Baseline,-,0.4699,-,0.4699,0.919,0.0,0.521,0.9266,0.0,435,384,400,4850,-,-
0.32,Baseline,-,0.4605,-,0.4605,0.923,0.0,0.509,0.9314,0.0,425,359,410,4875,-,-
0.33,Baseline,-,0.4538,-,0.4538,0.9263,0.0,0.491,0.9348,0.0,410,341,425,4893,-,-
0.34,Baseline,-,0.4444,-,0.4444,0.9293,0.0,0.485,0.9383,0.0,405,323,430,4911,-,-
0.35,Baseline,-,0.4297,-,0.4297,0.9332,0.0,0.4731,0.9408,0.0,395,310,440,4924,-,-
0.36,Baseline,-,0.4137,-,0.4137,0.9382,0.0,0.4551,0.944,0.0,380,293,455,4941,-,-
0.37,Baseline,-,0.4043,-,0.4043,0.9419,0.0,0.4431,0.9467,0.0,370,279,465,4955,-,-
0.38,Baseline,-,0.3963,-,0.3963,0.9439,0.0,0.4335,0.9488,0.0,362,268,473,4966,-,-
0.39,Baseline,-,0.3815,-,0.3815,0.9469,0.0,0.4216,0.9517,0.0,352,253,483,4981,-,-
0.4,Baseline,-,0.3748,-,0.3748,0.9496,0.0,0.4108,0.953,0.0,343,246,492,4988,-,-
0.41,Baseline,-,0.3655,-,0.3655,0.9514,0.0,0.4,0.9549,0.0,334,236,501,4998,-,-
0.42,Baseline,-,0.3561,-,0.3561,0.9542,0.0,0.3796,0.9564,0.0,317,228,518,5006,-,-
0.43,Baseline,-,0.344,-,0.344,0.9569,0.0,0.3665,0.9585,0.0,306,217,529,5017,-,-
0.44,Baseline,-,0.34,-,0.34,0.9591,0.0,0.3497,0.9612,0.0,292,203,543,5031,-,-
0.45,Baseline,-,0.3373,-,0.3373,0.9613,0.0,0.3425,0.9633,0.0,286,192,549,5042,-,-
0.46,Baseline,-,0.3333,-,0.3333,0.9635,0.0,0.3341,0.9652,0.0,279,182,556,5052,-,-
0.47,Baseline,-,0.3253,-,0.3253,0.965,0.0,0.3222,0.9668,0.0,269,174,566,5060,-,-
0.48,Baseline,-,0.3106,-,0.3106,0.9662,0.0,0.3138,0.9681,0.0,262,167,573,5067,-,-
0.49,Baseline,-,0.3052,-,0.3052,0.9678,0.0,0.3054,0.969,0.0,255,162,580,5072,-,-
0.5,Baseline,-,0.2985,-,0.2985,0.969,0.0,0.3018,0.9706,0.0,252,154,583,5080,-,-
0.51,Baseline,-,0.2918,-,0.2918,0.9708,0.0,0.2922,0.9715,0.0,244,149,591,5085,-,-
0.52,Baseline,-,0.2838,-,0.2838,0.9729,0.0,0.2838,0.9736,0.0,237,138,598,5096,-,-
0.53,Baseline,-,0.2731,-,0.2731,0.9733,0.0,0.2671,0.9748,0.0,223,132,612,5102,-,-
0.54,Baseline,-,0.2651,-,0.2651,0.9743,0.0,0.2599,0.9769,0.0,217,121,618,5113,-,-
0.55,Baseline,-,0.2584,-,0.2584,0.9751,0.0,0.2527,0.9778,0.0,211,116,624,5118,-,-
0.56,Baseline,-,0.2517,-,0.2517,0.9763,0.0,0.2455,0.9784,0.0,205,113,630,5121,-,-
0.57,Baseline,-,0.2436,-,0.2436,0.9779,0.0,0.2395,0.9792,0.0,200,109,635,5125,-,-
0.58,Baseline,-,0.2356,-,0.2356,0.9798,0.0,0.2359,0.9797,0.0,197,106,638,5128,-,-
0.59,Baseline,-,0.2316,-,0.2316,0.9812,0.0,0.2311,0.9811,0.0,193,99,642,5135,-,-
0.6,Baseline,-,0.2289,-,0.2289,0.9824,0.0,0.2251,0.9817,0.0,188,96,647,5138,-,-
0.61,Baseline,-,0.2169,-,0.2169,0.984,0.0,0.218,0.9832,0.0,182,88,653,5146,-,-
0.62,Baseline,-,0.2115,-,0.2115,0.985,0.0,0.2096,0.984,0.0,175,84,660,5150,-,-
0.63,Baseline,-,0.2048,-,0.2048,0.986,0.0,0.2,0.9851,0.0,167,78,668,5156,-,-
0.64,Baseline,-,0.1941,-,0.1941,0.9868,0.0,0.194,0.9861,0.0,162,73,673,5161,-,-
0.65,Baseline,-,0.1861,-,0.1861,0.9876,0.0,0.182,0.9864,0.0,152,71,683,5163,-,-
0.66,Baseline,-,0.1727,-,0.1727,0.9879,0.0,0.1713,0.9866,0.0,143,70,692,5164,-,-
0.67,Baseline,-,0.1687,-,0.1687,0.9889,0.0,0.1593,0.9876,0.0,133,65,702,5169,-,-
0.68,Baseline,-,0.158,-,0.158,0.9891,0.0,0.1581,0.9883,0.0,132,61,703,5173,-,-
0.69,Baseline,-,0.1499,-,0.1499,0.9897,0.0,0.1497,0.9891,0.0,125,57,710,5177,-,-
0.7,Baseline,-,0.1459,-,0.1459,0.9901,0.0,0.1497,0.9895,0.0,125,55,710,5179,-,-
0.71,Baseline,-,0.1339,-,0.1339,0.9913,0.0,0.1461,0.9897,0.0,122,54,713,5180,-,-
0.72,Baseline,-,0.1218,-,0.1218,0.9921,0.0,0.1413,0.9903,0.0,118,51,717,5183,-,-
0.73,Baseline,-,0.1138,-,0.1138,0.9925,0.0,0.1293,0.9916,0.0,108,44,727,5190,-,-
0.74,Baseline,-,0.1098,-,0.1098,0.9929,0.0,0.1222,0.9924,0.0,102,40,733,5194,-,-
0.75,Baseline,-,0.1044,-,0.1044,0.9933,0.0,0.115,0.9935,0.0,96,34,739,5200,-,-
0.76,Baseline,-,0.0977,-,0.0977,0.9937,0.0,0.1114,0.9941,0.0,93,31,742,5203,-,-
0.77,Baseline,-,0.0937,-,0.0937,0.9949,0.0,0.1066,0.9941,0.0,89,31,746,5203,-,-
0.78,Baseline,-,0.091,-,0.091,0.9957,0.0,0.1054,0.9947,0.0,88,28,747,5206,-,-
0.79,Baseline,-,0.0897,-,0.0897,0.9959,0.0,0.0982,0.995,0.0,82,26,753,5208,-,-
0.8,Baseline,-,0.0857,-,0.0857,0.996,0.0,0.0958,0.9952,0.0,80,25,755,5209,-,-
0.81,Baseline,-,0.0803,-,0.0803,0.996,0.0,0.0922,0.9954,0.0,77,24,758,5210,-,-
