feature,importance_gain
prob_icu24h,378.4781494140625
prob_icu24h_platt,118.16180419921875
prob_icu24h_isotonic,85.14742279052734
labvalues_absolute_basophil_count_rate_change_m,21.722185134887695
biometrics_bmi_m,14.586536407470703
vitals_sbp_mean,12.10684585571289
biometrics_height_m,11.608598709106445
labvalues_bicarbonate_min,11.574692726135254
labvalues_absolute_lymphocyte_count_std,11.296634674072266
vitals_sbp_last,11.099874496459961
labvalues_rdw_mean_m,10.73583984375
labvalues_urea_nitrogen_min,10.35517692565918
labvalues_base_excess_rate_change_m,10.070666313171387
labvalues_creatinine_first,9.948699951171875
labvalues_platelet_count_mean_m,9.926765441894531
labvalues_lactate_rate_change,9.68071460723877
biometrics_height,9.680363655090332
vitals_heartrate_median,9.630023956298828
labvalues_sodium_min,9.482136726379395
labvalues_absolute_eosinophil_count_std,9.36669921875
vitals_resprate_last,9.095791816711426
labvalues_chloride_mean,8.960105895996094
vitals_acuity,8.9203519821167
labvalues_platelet_count_max,8.89018440246582
labvalues_pt_max,8.834896087646484
labvalues_chloride_min,8.746803283691406
labvalues_lactate_last,8.669636726379395
labvalues_oxygen_saturation_mean_m,8.5108642578125
labvalues_eosinophils_rate_change_m,8.498309135437012
labvalues_hemoglobin_rate_change,8.337961196899414
labvalues_platelet_count_std,8.31805419921875
vitals_sbp_median,8.198308944702148
vitals_temperature_min,8.191169738769531
labvalues_glucose_median,7.988015651702881
labvalues_albumin_min,7.970749855041504
labvalues_bicarbonate_last,7.725576400756836
vitals_temperature_last,7.6757731437683105
vitals_resprate_coeff,7.636130332946777
labvalues_oxygen_saturation_max,7.471954345703125
labvalues_potassium_mean_m,7.448969841003418
labvalues_troponin_t_mean,7.414914608001709
vitals_sbp_min,7.334134101867676
vitals_heartrate_coeff,7.322992324829102
"labvalues_creatine_kinase,_mb_isoenzyme_mean_m",7.320096969604492
labvalues_bicarbonate_mean,7.249593734741211
vitals_dbp_mean,7.222750186920166
labvalues_red_blood_cells_std,7.2178955078125
"labvalues_calcium,_total_median",7.211678504943848
labvalues_absolute_lymphocyte_count_mean,7.197178363800049
labvalues_eosinophils_first,7.157531261444092
labvalues_lactate_mean_m,7.143706321716309
labvalues_lactate_coeff,7.120752811431885
vitals_o2sat_max,7.061053276062012
labvalues_glucose_last,7.012018203735352
labvalues_pco2_mean,6.986324310302734
labvalues_lactate_min,6.94097375869751
vitals_dbp_std,6.8537373542785645
labvalues_phosphate_mean_m,6.815690040588379
labvalues_eosinophils_min,6.811585903167725
vitals_o2sat_coeff,6.7690582275390625
labvalues_lactate_mean,6.723423957824707
vitals_resprate_mean,6.714060306549072
vitals_heartrate_first,6.711577415466309
vitals_sbp_first,6.706433296203613
labvalues_basophils_mean,6.6923322677612305
vitals_heartrate_rate_change,6.6678786277771
labvalues_potassium_mean,6.638219356536865
labvalues_red_blood_cells_min,6.6347455978393555
labvalues_bicarbonate_rate_change,6.632357120513916
labvalues_hematocrit_mean,6.627554416656494
labvalues_asparate_aminotransferase_(ast)_mean,6.624704837799072
vitals_o2sat_median,6.559589385986328
vitals_dbp_max,6.555386543273926
vitals_o2sat_mean,6.535721778869629
labvalues_platelet_count_last,6.518416404724121
vitals_resprate_min,6.487584590911865
labvalues_absolute_basophil_count_mean,6.487355709075928
demographics_age,6.413451671600342
labvalues_free_calcium_mean_m,6.385762691497803
vitals_temperature_first,6.348247528076172
labvalues_white_blood_cells_min,6.326381683349609
vitals_temperature_mean,6.288531303405762
vitals_o2sat_first,6.2863030433654785
labvalues_lymphocytes_max,6.268162250518799
labvalues_bicarbonate_first,6.267775535583496
labvalues_sodium_mean,6.176040172576904
labvalues_alkaline_phosphatase_mean,6.16414213180542
biometrics_weight,6.155866622924805
labvalues_ph_mean_m,6.1327972412109375
labvalues_hemoglobin_mean,6.109498977661133
labvalues_lymphocytes_mean,6.107771396636963
vitals_heartrate_min,6.098287105560303
labvalues_phosphate_min,6.097537040710449
labvalues_creatinine_mean,6.0824737548828125
labvalues_absolute_eosinophil_count_mean,6.062449932098389
labvalues_albumin_mean,6.031594753265381
vitals_o2sat_rate_change,6.022778511047363
vitals_sbp_max,5.999050140380859
labvalues_glucose_mean,5.985673904418945
labvalues_basophils_last,5.940553665161133
labvalues_white_blood_cells_max,5.9218902587890625
labvalues_urea_nitrogen_mean,5.911585330963135
labvalues_pt_mean,5.890727996826172
labvalues_ptt_max,5.867915630340576
labvalues_pco2_max,5.8485517501831055
labvalues_oxygen_saturation_mean,5.845399856567383
demographics_gender,5.829145431518555
vitals_temperature_max,5.81878662109375
labvalues_base_excess_min,5.806459426879883
vitals_temperature_std,5.8064117431640625
"labvalues_bilirubin,_total_mean",5.751862525939941
vitals_o2sat_std,5.731125831604004
vitals_heartrate_std,5.707389831542969
vitals_dbp_last,5.702447891235352
vitals_dbp_median,5.694703578948975
labvalues_magnesium_mean,5.605409622192383
labvalues_rdw_mean,5.595728397369385
labvalues_bicarbonate_mean_m,5.589459419250488
labvalues_white_blood_cells_mean,5.577401638031006
labvalues_albumin_mean_m,5.548179626464844
vitals_resprate_first,5.503017425537109
labvalues_base_excess_mean,5.378211975097656
labvalues_alanine_aminotransferase_(alt)_mean,5.375057220458984
labvalues_pt_min,5.339583396911621
vitals_resprate_rate_change,5.313869953155518
vitals_resprate_std,5.273612976074219
"labvalues_creatine_kinase,_mb_isoenzyme_mean",5.270319938659668
vitals_dbp_coeff,5.265964031219482
"labvalues_bilirubin,_direct_mean_m",5.257464408874512
labvalues_phosphate_mean,5.24021053314209
vitals_dbp_first,5.235877513885498
vitals_heartrate_max,5.232452392578125
labvalues_pco2_min,5.203530311584473
labvalues_glucose_max,5.202518939971924
vitals_heartrate_mean,5.18569278717041
labvalues_neutrophils_mean,5.1692399978637695
labvalues_creatine_kinase_(ck)_mean,5.16804838180542
labvalues_oxygen_saturation_first,5.161072731018066
labvalues_bicarbonate_std,5.1072998046875
vitals_heartrate_last,5.072243690490723
vitals_o2sat_min,5.017570495605469
demographics_ethnicity,4.933841705322266
labvalues_glucose_min,4.88260555267334
biometrics_bmi,4.871866226196289
vitals_resprate_median,4.847598552703857
labvalues_ptt_mean,4.81720495223999
vitals_sbp_coeff,4.802960395812988
vitals_dbp_min,4.799898147583008
labvalues_eosinophils_mean,4.781923770904541
labvalues_absolute_basophil_count_last,4.773768424987793
vitals_sbp_std,4.735439300537109
labvalues_potassium_min,4.722943305969238
labvalues_red_blood_cells_max,4.667424201965332
labvalues_red_blood_cells_mean,4.552484035491943
labvalues_absolute_basophil_count_mean_m,4.419644832611084
labvalues_lactate_std,4.37980842590332
labvalues_basophils_min,4.347897529602051
labvalues_potassium_last,4.295230865478516
labvalues_oxygen_saturation_min,4.269518852233887
"labvalues_calcium,_total_mean",4.267838954925537
labvalues_platelet_count_min,4.206410884857178
labvalues_inr(pt)_mean,4.131580829620361
vitals_resprate_max,4.084733486175537
labvalues_absolute_eosinophil_count_min,4.083928108215332
labvalues_urea_nitrogen_last,4.063185691833496
vitals_o2sat_last,4.001926898956299
labvalues_hematocrit_max,3.9998714923858643
labvalues_platelet_count_mean,3.943141460418701
labvalues_carboxyhemoglobin_mean,3.9243500232696533
labvalues_ph_mean,3.8893051147460938
labvalues_ptt_min,3.860229730606079
labvalues_glucose_rate_change,3.7436835765838623
labvalues_hemoglobin_max,3.7310659885406494
"labvalues_bilirubin,_total_mean_m",3.692478656768799
labvalues_hemoglobin_std,3.562067747116089
labvalues_bicarbonate_max,3.5608038902282715
labvalues_urea_nitrogen_max,3.394887924194336
"labvalues_fibrinogen,_functional_mean",3.3365468978881836
labvalues_potassium_max,3.3258063793182373
labvalues_c-reactive_protein_mean,3.123250961303711
vitals_dbp_rate_change,3.0366899967193604
labvalues_pco2_std,2.851153612136841
vitals_sbp_rate_change,2.721993923187256
labvalues_creatinine_rate_change,2.6235713958740234
labvalues_neutrophils_min,2.3436849117279053
"labvalues_fibrinogen,_functional_mean_m",2.1019134521484375
vitals_sbp_mean_m,1.9654502868652344
labvalues_creatinine_min,1.825532078742981
biometrics_weight_m,1.5874254703521729
labvalues_inr(pt)_mean_m,1.5496587753295898
labvalues_lactate_first,0.5427403450012207
labvalues_albumin_max,0.0
labvalues_albumin_median,0.0
labvalues_alanine_aminotransferase_(alt)_coeff,0.0
labvalues_alanine_aminotransferase_(alt)_rate_change,0.0
labvalues_alanine_aminotransferase_(alt)_last,0.0
labvalues_alanine_aminotransferase_(alt)_first,0.0
labvalues_alanine_aminotransferase_(alt)_std,0.0
labvalues_alanine_aminotransferase_(alt)_max,0.0
labvalues_alanine_aminotransferase_(alt)_min,0.0
labvalues_asparate_aminotransferase_(ast)_rate_change,0.0
labvalues_asparate_aminotransferase_(ast)_last,0.0
labvalues_asparate_aminotransferase_(ast)_first,0.0
labvalues_asparate_aminotransferase_(ast)_std,0.0
labvalues_asparate_aminotransferase_(ast)_max,0.0
labvalues_absolute_lymphocyte_count_first,0.0
labvalues_absolute_lymphocyte_count_max,0.0
labvalues_absolute_lymphocyte_count_min,0.0
labvalues_absolute_lymphocyte_count_median,0.0
labvalues_absolute_eosinophil_count_coeff,0.0
labvalues_absolute_eosinophil_count_rate_change,0.0
labvalues_absolute_eosinophil_count_last,0.0
labvalues_absolute_eosinophil_count_first,0.0
labvalues_absolute_eosinophil_count_max,0.0
labvalues_white_blood_cells_coeff_m,0.0
labvalues_albumin_coeff,0.0
labvalues_albumin_rate_change,0.0
labvalues_albumin_last,0.0
labvalues_albumin_first,0.0
labvalues_asparate_aminotransferase_(ast)_min,0.0
labvalues_asparate_aminotransferase_(ast)_median,0.0
labvalues_alkaline_phosphatase_coeff,0.0
labvalues_alkaline_phosphatase_rate_change,0.0
labvalues_alkaline_phosphatase_last,0.0
labvalues_alkaline_phosphatase_first,0.0
labvalues_alkaline_phosphatase_std,0.0
labvalues_alkaline_phosphatase_max,0.0
labvalues_alkaline_phosphatase_min,0.0
labvalues_alkaline_phosphatase_median,0.0
labvalues_base_excess_first,0.0
labvalues_base_excess_std,0.0
labvalues_base_excess_max,0.0
labvalues_base_excess_median,0.0
labvalues_bands_coeff,0.0
labvalues_bands_rate_change,0.0
labvalues_bands_last,0.0
labvalues_bands_first,0.0
labvalues_bands_std,0.0
labvalues_bands_max,0.0
labvalues_bands_min,0.0
labvalues_bands_median,0.0
labvalues_bands_mean,0.0
labvalues_asparate_aminotransferase_(ast)_coeff,0.0
labvalues_bicarbonate_median,0.0
labvalues_basophils_coeff,0.0
labvalues_basophils_rate_change,0.0
labvalues_basophils_first,0.0
labvalues_basophils_std,0.0
labvalues_basophils_max,0.0
labvalues_basophils_median,0.0
labvalues_base_excess_coeff,0.0
labvalues_base_excess_rate_change,0.0
labvalues_base_excess_last,0.0
"labvalues_bilirubin,_total_std",0.0
"labvalues_bilirubin,_total_max",0.0
"labvalues_bilirubin,_total_min",0.0
"labvalues_bilirubin,_total_median",0.0
vitals_temperature_median,0.0
"labvalues_bilirubin,_direct_coeff",0.0
"labvalues_bilirubin,_direct_rate_change",0.0
"labvalues_bilirubin,_direct_last",0.0
"labvalues_bilirubin,_direct_first",0.0
"labvalues_bilirubin,_direct_std",0.0
"labvalues_bilirubin,_direct_max",0.0
"labvalues_bilirubin,_direct_min",0.0
"labvalues_bilirubin,_direct_median",0.0
"labvalues_bilirubin,_direct_mean",0.0
labvalues_bicarbonate_coeff,0.0
"labvalues_calcium,_total_max",0.0
"labvalues_calcium,_total_min",0.0
labvalues_c-reactive_protein_coeff,0.0
labvalues_c-reactive_protein_rate_change,0.0
labvalues_c-reactive_protein_last,0.0
labvalues_c-reactive_protein_first,0.0
labvalues_c-reactive_protein_std,0.0
labvalues_c-reactive_protein_max,0.0
labvalues_c-reactive_protein_min,0.0
labvalues_c-reactive_protein_median,0.0
"labvalues_bilirubin,_total_coeff",0.0
"labvalues_bilirubin,_total_rate_change",0.0
"labvalues_bilirubin,_total_last",0.0
"labvalues_bilirubin,_total_first",0.0
labvalues_carboxyhemoglobin_first,0.0
labvalues_carboxyhemoglobin_std,0.0
labvalues_carboxyhemoglobin_max,0.0
labvalues_carboxyhemoglobin_min,0.0
labvalues_carboxyhemoglobin_median,0.0
"labvalues_calcium,_total_coeff",0.0
"labvalues_calcium,_total_rate_change",0.0
"labvalues_calcium,_total_last",0.0
"labvalues_calcium,_total_first",0.0
"labvalues_calcium,_total_std",0.0
labvalues_chloride_std,0.0
labvalues_chloride_max,0.0
labvalues_chloride_median,0.0
labvalues_carboxyhemoglobin_coeff,0.0
labvalues_carboxyhemoglobin_rate_change,0.0
labvalues_carboxyhemoglobin_last,0.0
labvalues_absolute_eosinophil_count_median,0.0
labvalues_absolute_basophil_count_coeff,0.0
labvalues_absolute_basophil_count_rate_change,0.0
labvalues_absolute_basophil_count_first,0.0
labvalues_absolute_basophil_count_std,0.0
labvalues_absolute_basophil_count_max,0.0
labvalues_absolute_basophil_count_min,0.0
labvalues_absolute_basophil_count_median,0.0
"labvalues_creatine_kinase,_mb_isoenzyme_min",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_median",0.0
labvalues_creatine_kinase_(ck)_coeff,0.0
labvalues_creatine_kinase_(ck)_rate_change,0.0
labvalues_creatine_kinase_(ck)_last,0.0
labvalues_creatine_kinase_(ck)_first,0.0
labvalues_creatine_kinase_(ck)_std,0.0
labvalues_creatine_kinase_(ck)_max,0.0
labvalues_creatine_kinase_(ck)_min,0.0
labvalues_creatine_kinase_(ck)_median,0.0
labvalues_chloride_coeff,0.0
labvalues_chloride_rate_change,0.0
labvalues_chloride_last,0.0
labvalues_chloride_first,0.0
labvalues_eosinophils_median,0.0
labvalues_creatinine_coeff,0.0
labvalues_creatinine_last,0.0
labvalues_creatinine_std,0.0
labvalues_creatinine_max,0.0
labvalues_creatinine_median,0.0
"labvalues_creatine_kinase,_mb_isoenzyme_coeff",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_rate_change",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_last",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_first",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_std",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_max",0.0
labvalues_free_calcium_median,0.0
labvalues_free_calcium_mean,0.0
"labvalues_fibrinogen,_functional_coeff",0.0
"labvalues_fibrinogen,_functional_rate_change",0.0
"labvalues_fibrinogen,_functional_last",0.0
"labvalues_fibrinogen,_functional_first",0.0
"labvalues_fibrinogen,_functional_std",0.0
"labvalues_fibrinogen,_functional_max",0.0
"labvalues_fibrinogen,_functional_min",0.0
"labvalues_fibrinogen,_functional_median",0.0
labvalues_eosinophils_coeff,0.0
labvalues_eosinophils_rate_change,0.0
labvalues_eosinophils_last,0.0
labvalues_eosinophils_std,0.0
labvalues_eosinophils_max,0.0
labvalues_hematocrit_median,0.0
labvalues_glucose_coeff,0.0
labvalues_glucose_first,0.0
labvalues_glucose_std,0.0
labvalues_free_calcium_coeff,0.0
labvalues_free_calcium_rate_change,0.0
labvalues_free_calcium_last,0.0
labvalues_free_calcium_first,0.0
labvalues_free_calcium_std,0.0
labvalues_free_calcium_max,0.0
labvalues_free_calcium_min,0.0
labvalues_hemoglobin_coeff,0.0
labvalues_hemoglobin_last,0.0
labvalues_hemoglobin_first,0.0
labvalues_hemoglobin_min,0.0
labvalues_hemoglobin_median,0.0
labvalues_hematocrit_coeff,0.0
labvalues_hematocrit_rate_change,0.0
labvalues_hematocrit_last,0.0
labvalues_hematocrit_first,0.0
labvalues_hematocrit_std,0.0
labvalues_hematocrit_min,0.0
labvalues_lymphocytes_min,0.0
labvalues_lymphocytes_median,0.0
labvalues_lactate_max,0.0
labvalues_lactate_median,0.0
labvalues_inr(pt)_coeff,0.0
labvalues_inr(pt)_rate_change,0.0
labvalues_inr(pt)_last,0.0
labvalues_inr(pt)_first,0.0
labvalues_inr(pt)_std,0.0
labvalues_inr(pt)_max,0.0
labvalues_inr(pt)_min,0.0
labvalues_inr(pt)_median,0.0
labvalues_magnesium_coeff,0.0
labvalues_magnesium_rate_change,0.0
labvalues_magnesium_last,0.0
labvalues_magnesium_first,0.0
labvalues_magnesium_std,0.0
labvalues_magnesium_max,0.0
labvalues_magnesium_min,0.0
labvalues_magnesium_median,0.0
labvalues_lymphocytes_coeff,0.0
labvalues_lymphocytes_rate_change,0.0
labvalues_lymphocytes_last,0.0
labvalues_lymphocytes_first,0.0
labvalues_lymphocytes_std,0.0
labvalues_oxygen_saturation_coeff,0.0
labvalues_oxygen_saturation_rate_change,0.0
labvalues_oxygen_saturation_last,0.0
labvalues_oxygen_saturation_std,0.0
labvalues_oxygen_saturation_median,0.0
labvalues_neutrophils_coeff,0.0
labvalues_neutrophils_rate_change,0.0
labvalues_neutrophils_last,0.0
labvalues_neutrophils_first,0.0
labvalues_neutrophils_std,0.0
labvalues_neutrophils_max,0.0
labvalues_neutrophils_median,0.0
labvalues_ptt_rate_change,0.0
labvalues_ptt_last,0.0
labvalues_ptt_first,0.0
labvalues_ptt_std,0.0
labvalues_ptt_median,0.0
labvalues_pt_coeff,0.0
labvalues_pt_rate_change,0.0
labvalues_pt_last,0.0
labvalues_pt_first,0.0
labvalues_pt_std,0.0
labvalues_pt_median,0.0
labvalues_platelet_count_median,0.0
labvalues_phosphate_coeff,0.0
labvalues_phosphate_rate_change,0.0
labvalues_phosphate_last,0.0
labvalues_phosphate_first,0.0
labvalues_phosphate_std,0.0
labvalues_phosphate_max,0.0
labvalues_phosphate_median,0.0
labvalues_ptt_coeff,0.0
labvalues_potassium_median,0.0
labvalues_platelet_count_coeff,0.0
labvalues_platelet_count_rate_change,0.0
labvalues_platelet_count_first,0.0
labvalues_rdw_coeff,0.0
labvalues_rdw_rate_change,0.0
labvalues_rdw_last,0.0
labvalues_rdw_first,0.0
labvalues_rdw_std,0.0
labvalues_rdw_max,0.0
labvalues_rdw_min,0.0
labvalues_rdw_median,0.0
labvalues_potassium_coeff,0.0
labvalues_potassium_rate_change,0.0
labvalues_potassium_first,0.0
labvalues_potassium_std,0.0
labvalues_sodium_coeff,0.0
labvalues_sodium_rate_change,0.0
labvalues_sodium_last,0.0
labvalues_sodium_first,0.0
labvalues_sodium_std,0.0
labvalues_sodium_max,0.0
labvalues_sodium_median,0.0
labvalues_red_blood_cells_coeff,0.0
labvalues_red_blood_cells_rate_change,0.0
labvalues_red_blood_cells_last,0.0
labvalues_red_blood_cells_first,0.0
labvalues_red_blood_cells_median,0.0
labvalues_urea_nitrogen_coeff,0.0
labvalues_urea_nitrogen_rate_change,0.0
labvalues_urea_nitrogen_first,0.0
labvalues_urea_nitrogen_std,0.0
labvalues_urea_nitrogen_median,0.0
labvalues_troponin_t_coeff,0.0
labvalues_troponin_t_rate_change,0.0
labvalues_troponin_t_last,0.0
labvalues_troponin_t_first,0.0
labvalues_troponin_t_std,0.0
labvalues_troponin_t_max,0.0
labvalues_troponin_t_min,0.0
labvalues_troponin_t_median,0.0
labvalues_pco2_rate_change,0.0
labvalues_pco2_last,0.0
labvalues_pco2_first,0.0
labvalues_pco2_median,0.0
labvalues_white_blood_cells_coeff,0.0
labvalues_white_blood_cells_rate_change,0.0
labvalues_white_blood_cells_last,0.0
labvalues_white_blood_cells_first,0.0
