feature,importance_gain
entropy,447.20697021484375
prob_icu24h_isotonic,70.16999053955078
prob_icu24h,29.855655670166016
biometrics_height_m,12.406444549560547
labvalues_glucose_mean_m,10.823789596557617
labvalues_pt_max,10.58560562133789
labvalues_oxygen_saturation_mean,10.565217971801758
vitals_sbp_last,10.341135025024414
biometrics_bmi_m,10.024091720581055
vitals_temperature_min,9.895110130310059
labvalues_neutrophils_min,9.84388256072998
spread,9.666169166564941
labvalues_glucose_first,9.278318405151367
vitals_temperature_max,8.975531578063965
labvalues_base_excess_mean,8.766609191894531
labvalues_sodium_min,8.751692771911621
labvalues_bicarbonate_last,8.47250747680664
labvalues_hematocrit_min,8.332707405090332
vitals_acuity_m,8.23525333404541
labvalues_c-reactive_protein_mean,8.114007949829102
labvalues_rdw_mean_m,8.02889633178711
labvalues_urea_nitrogen_mean_m,7.94944953918457
labvalues_bicarbonate_mean_m,7.917294025421143
labvalues_white_blood_cells_max,7.908777713775635
"labvalues_bilirubin,_direct_rate_change_m",7.880123138427734
vitals_heartrate_mean,7.78193473815918
labvalues_albumin_mean_m,7.722602844238281
vitals_temperature_mean_m,7.65517520904541
vitals_resprate_last,7.626546382904053
labvalues_eosinophils_rate_change_m,7.592834949493408
labvalues_hemoglobin_last,7.574217796325684
labvalues_oxygen_saturation_max,7.523937225341797
labvalues_lactate_last,7.520191192626953
labvalues_potassium_mean,7.515894412994385
labvalues_basophils_rate_change_m,7.454709529876709
labvalues_potassium_min,7.422583103179932
labvalues_sodium_mean,7.397510528564453
vitals_temperature_median,7.3365559577941895
labvalues_hemoglobin_mean_m,7.28240966796875
vitals_temperature_mean,7.274429798126221
labvalues_ptt_min,7.232990264892578
biometrics_height,7.217386722564697
labvalues_creatinine_max,7.1988043785095215
vitals_temperature_first,7.176949501037598
vitals_o2sat_median,7.1707916259765625
labvalues_creatine_kinase_(ck)_mean,7.141703128814697
vitals_o2sat_min,7.02506160736084
vitals_heartrate_min,7.008321762084961
demographics_ethnicity,6.997337818145752
vitals_o2sat_last,6.915932655334473
labvalues_potassium_mean_m,6.894496917724609
labvalues_hemoglobin_std,6.87344217300415
vitals_heartrate_first,6.867094993591309
labvalues_potassium_max,6.848796844482422
vitals_sbp_median,6.846363544464111
vitals_sbp_rate_change,6.7895917892456055
vitals_dbp_max,6.763728141784668
vitals_sbp_std,6.74362850189209
labvalues_absolute_lymphocyte_count_mean,6.724433422088623
labvalues_alkaline_phosphatase_mean,6.705482482910156
labvalues_absolute_basophil_count_mean,6.6950531005859375
vitals_sbp_min,6.661291122436523
labvalues_creatinine_mean,6.567966461181641
vitals_o2sat_first,6.541583061218262
vitals_resprate_median,6.503620624542236
vitals_dbp_first,6.503244876861572
vitals_resprate_std,6.48483943939209
labvalues_hemoglobin_mean,6.428582668304443
labvalues_lactate_coeff,6.349783897399902
vitals_resprate_max,6.346902370452881
labvalues_chloride_max,6.276707172393799
vitals_o2sat_mean,6.252213001251221
labvalues_glucose_max,6.237144470214844
vitals_resprate_coeff,6.160016059875488
vitals_dbp_median,6.1427130699157715
vitals_o2sat_coeff,6.132658004760742
labvalues_rdw_max,6.11973237991333
vitals_dbp_coeff,6.093861103057861
labvalues_lactate_rate_change,6.078405380249023
labvalues_lactate_min,6.076333045959473
labvalues_ptt_max,6.06671667098999
labvalues_ptt_mean,6.036704063415527
"labvalues_calcium,_total_median",6.014519691467285
labvalues_glucose_min,6.000253200531006
labvalues_neutrophils_mean,5.96444845199585
labvalues_hematocrit_mean,5.9414544105529785
labvalues_troponin_t_mean,5.934849739074707
labvalues_chloride_mean,5.923122882843018
labvalues_bicarbonate_min,5.855024814605713
labvalues_platelet_count_max,5.823148250579834
vitals_acuity,5.77122688293457
labvalues_magnesium_mean,5.75319242477417
vitals_sbp_max,5.745910167694092
labvalues_absolute_eosinophil_count_mean,5.742424488067627
demographics_age,5.737509250640869
labvalues_inr(pt)_mean_m,5.714268207550049
labvalues_bicarbonate_max,5.705061435699463
labvalues_alkaline_phosphatase_max,5.697122097015381
vitals_temperature_coeff,5.6291117668151855
vitals_dbp_std,5.609360694885254
labvalues_inr(pt)_mean,5.576816558837891
labvalues_white_blood_cells_mean,5.571861743927002
vitals_resprate_min,5.56998348236084
vitals_o2sat_rate_change,5.552082061767578
biometrics_weight_m,5.518868446350098
labvalues_phosphate_mean,5.506538391113281
vitals_o2sat_std,5.50062370300293
vitals_sbp_first,5.485065937042236
labvalues_urea_nitrogen_mean,5.442819595336914
labvalues_platelet_count_last,5.4309611320495605
variance,5.391632080078125
labvalues_base_excess_min,5.366591453552246
labvalues_basophils_mean,5.357353210449219
vitals_sbp_mean,5.349671840667725
labvalues_platelet_count_min,5.333813667297363
"labvalues_creatine_kinase,_mb_isoenzyme_mean",5.264318943023682
labvalues_lactate_mean,5.2568535804748535
vitals_dbp_min,5.227121353149414
vitals_sbp_coeff,5.220518112182617
vitals_o2sat_max,5.201191425323486
labvalues_hemoglobin_median,5.183150291442871
labvalues_troponin_t_mean_m,5.1781463623046875
"labvalues_bilirubin,_total_mean",5.162894248962402
"labvalues_calcium,_total_mean",5.123759746551514
labvalues_eosinophils_min,5.090790748596191
vitals_heartrate_coeff,5.052089214324951
labvalues_phosphate_min,5.052027702331543
vitals_resprate_rate_change,5.013562202453613
vitals_heartrate_median,5.001742362976074
vitals_dbp_last,4.998828411102295
vitals_temperature_rate_change,4.981267929077148
biometrics_bmi,4.977346897125244
labvalues_alanine_aminotransferase_(alt)_mean,4.959361553192139
labvalues_hematocrit_max,4.787936687469482
vitals_temperature_std,4.758070468902588
labvalues_absolute_basophil_count_rate_change_m,4.686435699462891
vitals_heartrate_std,4.670401096343994
vitals_dbp_mean,4.661977767944336
labvalues_absolute_lymphocyte_count_first,4.630650997161865
vitals_heartrate_max,4.630488872528076
vitals_resprate_first,4.599290370941162
labvalues_bands_mean,4.5490498542785645
vitals_heartrate_rate_change,4.541387557983398
labvalues_base_excess_rate_change_m,4.528911113739014
"labvalues_bilirubin,_direct_mean",4.525654315948486
labvalues_lactate_std,4.503373146057129
labvalues_sodium_max,4.476551532745361
demographics_gender,4.462623596191406
labvalues_lactate_median,4.377161502838135
vitals_resprate_mean,4.3265204429626465
labvalues_glucose_mean,4.324357986450195
vitals_heartrate_last,4.318412780761719
labvalues_pco2_mean,4.279826641082764
labvalues_lactate_max,4.2178497314453125
labvalues_oxygen_saturation_first,4.193831920623779
labvalues_absolute_basophil_count_min,4.182604789733887
labvalues_hemoglobin_max,4.161025047302246
labvalues_rdw_mean,4.137946605682373
labvalues_base_excess_first,4.106660842895508
labvalues_eosinophils_mean,4.087825775146484
labvalues_red_blood_cells_mean,3.9686975479125977
labvalues_asparate_aminotransferase_(ast)_min,3.961623430252075
biometrics_weight,3.9159672260284424
labvalues_albumin_mean,3.907844066619873
labvalues_bicarbonate_mean,3.8944106101989746
labvalues_pco2_max,3.8691563606262207
labvalues_lymphocytes_mean,3.8577752113342285
labvalues_platelet_count_std,3.777895212173462
labvalues_absolute_basophil_count_mean_m,3.7304158210754395
labvalues_glucose_coeff,3.6475963592529297
labvalues_pt_mean,3.422563076019287
labvalues_white_blood_cells_min,3.3905277252197266
"labvalues_fibrinogen,_functional_mean",3.2659366130828857
labvalues_glucose_rate_change,3.256620407104492
labvalues_oxygen_saturation_mean_m,3.244248867034912
labvalues_platelet_count_mean,3.2260375022888184
"labvalues_bilirubin,_total_mean_m",3.044152021408081
vitals_sbp_mean_m,3.00520658493042
labvalues_ph_mean_m,2.9936771392822266
labvalues_free_calcium_max,2.895319938659668
labvalues_basophils_last,2.7539055347442627
labvalues_alanine_aminotransferase_(alt)_mean_m,2.7035651206970215
labvalues_asparate_aminotransferase_(ast)_mean,2.320650100708008
labvalues_free_calcium_mean,2.3164656162261963
vitals_o2sat_mean_m,2.0851969718933105
vitals_dbp_rate_change,1.9988040924072266
labvalues_hemoglobin_rate_change,1.392325758934021
labvalues_lactate_first,0.47041845321655273
labvalues_basophils_max,0.3996100425720215
vitals_heartrate_mean_m,0.12929026782512665
labvalues_albumin_median,0.0
labvalues_albumin_min,0.0
labvalues_albumin_max,0.0
labvalues_albumin_std,0.0
labvalues_albumin_first,0.0
labvalues_albumin_last,0.0
labvalues_albumin_rate_change,0.0
labvalues_albumin_coeff,0.0
labvalues_alkaline_phosphatase_median,0.0
labvalues_alkaline_phosphatase_min,0.0
labvalues_alkaline_phosphatase_std,0.0
labvalues_alkaline_phosphatase_first,0.0
labvalues_alkaline_phosphatase_last,0.0
labvalues_alkaline_phosphatase_rate_change,0.0
labvalues_alkaline_phosphatase_coeff,0.0
labvalues_asparate_aminotransferase_(ast)_median,0.0
