feature,importance_gain
entropy,410.35321044921875
prob_icu24h_isotonic,72.76097869873047
prob_icu24h,49.23707962036133
biometrics_bmi_m,17.441913604736328
vitals_resprate_median,14.8409423828125
variance,14.050454139709473
biometrics_height_m,13.909626007080078
labvalues_hematocrit_mean_m,11.066181182861328
labvalues_urea_nitrogen_min,11.044266700744629
labvalues_bands_mean,9.8524169921875
vitals_sbp_last,9.71304988861084
labvalues_chloride_max,9.712821006774902
labvalues_lactate_min,9.641033172607422
labvalues_albumin_mean_m,9.527746200561523
biometrics_height,9.480790138244629
vitals_sbp_mean,9.473823547363281
vitals_resprate_last,9.39744758605957
labvalues_chloride_min,9.200105667114258
labvalues_oxygen_saturation_mean,9.041747093200684
labvalues_absolute_eosinophil_count_rate_change_m,8.7936372756958
labvalues_hemoglobin_min,8.723648071289062
labvalues_sodium_mean,8.70414924621582
labvalues_troponin_t_mean,8.687897682189941
labvalues_hematocrit_max,8.649091720581055
labvalues_sodium_min,8.621988296508789
labvalues_glucose_rate_change,8.277423858642578
labvalues_red_blood_cells_std,8.259191513061523
labvalues_creatinine_max,8.206799507141113
labvalues_platelet_count_max,8.081522941589355
labvalues_potassium_mean_m,8.000569343566895
labvalues_albumin_min,7.997415542602539
labvalues_eosinophils_rate_change_m,7.992025375366211
"labvalues_bilirubin,_direct_mean",7.899388313293457
vitals_resprate_std,7.891000747680664
vitals_sbp_max,7.658206939697266
labvalues_basophils_rate_change_m,7.613746643066406
labvalues_oxygen_saturation_max,7.51179838180542
labvalues_lactate_mean,7.480466842651367
vitals_dbp_first,7.402364730834961
vitals_o2sat_last,7.358641624450684
labvalues_glucose_mean_m,7.257450103759766
labvalues_absolute_eosinophil_count_mean,7.1363348960876465
labvalues_lymphocytes_min,6.98337459564209
labvalues_potassium_max,6.964792728424072
vitals_temperature_first,6.952951431274414
labvalues_alkaline_phosphatase_mean,6.9425764083862305
labvalues_eosinophils_max,6.921360015869141
labvalues_pco2_mean,6.871313095092773
labvalues_absolute_basophil_count_mean,6.832576751708984
vitals_heartrate_coeff,6.774929046630859
vitals_o2sat_mean,6.767773151397705
labvalues_glucose_min,6.761458873748779
labvalues_absolute_lymphocyte_count_mean,6.740392684936523
vitals_o2sat_coeff,6.6783976554870605
labvalues_lactate_coeff,6.668601989746094
labvalues_pt_mean,6.663629055023193
vitals_sbp_median,6.66314697265625
demographics_age,6.654283046722412
labvalues_oxygen_saturation_mean_m,6.625786781311035
labvalues_chloride_mean,6.57532262802124
labvalues_hemoglobin_std,6.565640449523926
labvalues_potassium_mean,6.529669761657715
vitals_sbp_first,6.512312412261963
vitals_heartrate_last,6.468898773193359
vitals_heartrate_first,6.440545558929443
labvalues_creatinine_mean,6.426676273345947
labvalues_pco2_last,6.424394607543945
labvalues_bicarbonate_mean_m,6.414061546325684
vitals_o2sat_median,6.371591091156006
vitals_resprate_mean,6.307870864868164
labvalues_asparate_aminotransferase_(ast)_mean,6.296058654785156
labvalues_absolute_eosinophil_count_max,6.245615482330322
vitals_o2sat_max,6.237643718719482
labvalues_creatine_kinase_(ck)_mean,6.217287063598633
labvalues_base_excess_mean,6.178175926208496
labvalues_rdw_min,6.171846389770508
labvalues_white_blood_cells_mean,6.1338210105896
vitals_dbp_std,6.121862411499023
biometrics_weight,6.106698513031006
vitals_sbp_min,6.084348201751709
vitals_dbp_max,6.025323867797852
labvalues_urea_nitrogen_mean,6.014631748199463
vitals_dbp_median,6.008491039276123
labvalues_creatinine_min,5.978478908538818
vitals_sbp_std,5.966683864593506
vitals_resprate_coeff,5.952907085418701
"labvalues_calcium,_total_mean",5.921433925628662
vitals_heartrate_min,5.864015102386475
labvalues_phosphate_mean,5.838934898376465
vitals_dbp_coeff,5.778494834899902
labvalues_inr(pt)_mean,5.7741570472717285
labvalues_glucose_max,5.764755725860596
vitals_temperature_coeff,5.749334812164307
labvalues_red_blood_cells_max,5.720737457275391
vitals_temperature_std,5.693133354187012
labvalues_absolute_basophil_count_mean_m,5.668718338012695
vitals_resprate_first,5.620120048522949
labvalues_magnesium_mean,5.60568904876709
vitals_heartrate_std,5.571969985961914
labvalues_glucose_mean,5.558786392211914
vitals_acuity,5.558466911315918
labvalues_potassium_min,5.5153703689575195
labvalues_base_excess_min,5.469573497772217
labvalues_albumin_mean,5.418313503265381
labvalues_platelet_count_last,5.4099321365356445
"labvalues_fibrinogen,_functional_mean",5.392869472503662
labvalues_hemoglobin_mean,5.375138282775879
labvalues_lactate_last,5.318708419799805
vitals_o2sat_first,5.308801651000977
vitals_heartrate_mean,5.263897895812988
vitals_resprate_rate_change,5.2477216720581055
vitals_temperature_mean,5.215129375457764
labvalues_neutrophils_mean,5.182883262634277
