feature,mean_abs_shap
entropy,1.6536031
prob_icu24h,0.38449714
prob_icu24h_isotonic,0.28504694
variance,0.23428766
biometrics_height_m,0.06577164
labvalues_asparate_aminotransferase_(ast)_mean,0.036022726
labvalues_absolute_lymphocyte_count_mean,0.033125672
labvalues_alkaline_phosphatase_mean,0.03272965
demographics_age,0.026488347
labvalues_hematocrit_mean,0.026159646
biometrics_bmi_m,0.025095765
vitals_sbp_last,0.021391625
biometrics_bmi,0.020189527
labvalues_white_blood_cells_mean,0.0195842
vitals_resprate_coeff,0.01938972
vitals_o2sat_median,0.019244788
vitals_sbp_min,0.01841968
vitals_resprate_std,0.017487427
vitals_dbp_min,0.015827522
labvalues_chloride_mean,0.015551401
labvalues_creatinine_mean,0.0140795335
vitals_sbp_coeff,0.0137672
labvalues_platelet_count_mean,0.013521762
biometrics_weight,0.012018321
vitals_sbp_std,0.01196519
vitals_heartrate_std,0.011446766
labvalues_glucose_mean,0.011135225
labvalues_pt_mean,0.010744639
labvalues_white_blood_cells_max,0.010526761
labvalues_eosinophils_rate_change_m,0.010273749
vitals_sbp_first,0.010261355
labvalues_absolute_eosinophil_count_mean,0.010249863
vitals_sbp_median,0.009372912
vitals_dbp_std,0.009025923
labvalues_creatinine_min,0.0090256715
vitals_heartrate_coeff,0.008856943
labvalues_lymphocytes_mean,0.008696189
vitals_resprate_first,0.008653047
biometrics_height,0.008484157
labvalues_urea_nitrogen_mean,0.008200596
vitals_o2sat_coeff,0.008165253
labvalues_ph_mean,0.007837073
vitals_acuity,0.0076136137
labvalues_oxygen_saturation_max,0.0076130573
labvalues_platelet_count_last,0.007397623
vitals_resprate_rate_change,0.0073549245
vitals_resprate_mean,0.0073079034
labvalues_platelet_count_max,0.0071091396
labvalues_potassium_min,0.007044881
labvalues_base_excess_mean,0.0069713965
labvalues_albumin_mean,0.0069659026
labvalues_creatine_kinase_(ck)_mean,0.006949311
labvalues_lactate_min,0.006899534
labvalues_phosphate_mean,0.006877111
vitals_o2sat_mean,0.0066951336
"labvalues_calcium,_total_mean",0.0066340645
labvalues_potassium_mean,0.006633483
labvalues_rdw_mean,0.006599007
labvalues_absolute_basophil_count_last,0.006529297
labvalues_lactate_last,0.006520005
vitals_dbp_median,0.0064546796
labvalues_ptt_mean,0.006297087
