feature,importance_gain
prob_mortality365d,526.8912353515625
prob_mortality365d_isotonic,82.60899353027344
prob_mortality365d_platt,63.27672576904297
labvalues_absolute_lymphocyte_count_max,15.594930648803711
labvalues_hemoglobin_first,11.906596183776855
labvalues_ptt_min,11.147954940795898
labvalues_albumin_mean_m,10.46992301940918
labvalues_lactate_min,10.291770935058594
labvalues_hemoglobin_last,10.087185859680176
demographics_age,9.893113136291504
labvalues_sodium_mean_m,9.749524116516113
labvalues_urea_nitrogen_min,9.66197395324707
labvalues_platelet_count_max,9.584277153015137
labvalues_troponin_t_mean_m,9.572932243347168
labvalues_sodium_min,8.978927612304688
labvalues_base_excess_rate_change_m,8.801469802856445
labvalues_hemoglobin_max,8.708039283752441
labvalues_albumin_mean,8.680401802062988
labvalues_glucose_mean_m,8.393548965454102
vitals_temperature_max,8.390071868896484
labvalues_glucose_max,8.235299110412598
biometrics_weight,8.215925216674805
labvalues_rdw_min,8.201313018798828
labvalues_ph_mean_m,8.173856735229492
labvalues_neutrophils_mean,8.114408493041992
vitals_heartrate_first,8.083874702453613
vitals_heartrate_rate_change,8.024805068969727
vitals_resprate_max,7.8932785987854
vitals_heartrate_min,7.828329563140869
biometrics_weight_m,7.7833685874938965
biometrics_bmi,7.7802653312683105
labvalues_pco2_max,7.769561767578125
demographics_gender,7.730113506317139
labvalues_lymphocytes_mean,7.602018356323242
labvalues_platelet_count_mean,7.531155586242676
labvalues_ptt_mean_m,7.515248775482178
vitals_resprate_median,7.49767541885376
vitals_temperature_last,7.488211154937744
labvalues_bicarbonate_max,7.441475868225098
labvalues_phosphate_mean_m,7.436182975769043
labvalues_potassium_max,7.4014153480529785
labvalues_absolute_eosinophil_count_mean,7.398232460021973
labvalues_glucose_last,7.370983123779297
labvalues_bicarbonate_min,7.358386993408203
vitals_sbp_rate_change,7.357993125915527
labvalues_hemoglobin_coeff,7.28580379486084
labvalues_creatinine_mean,7.23723030090332
"labvalues_calcium,_total_mean",7.221776008605957
vitals_o2sat_median,7.198102951049805
labvalues_pt_mean,7.188602447509766
labvalues_ptt_mean,7.1740899085998535
labvalues_hematocrit_max,7.169321060180664
labvalues_urea_nitrogen_mean,7.146806716918945
