feature,mean_abs_shap
prob_mortality365d,1.477499
prob_mortality365d_isotonic,0.6151163
prob_mortality365d_platt,0.48539495
demographics_age,0.06732733
demographics_gender,0.056076888
labvalues_creatinine_mean,0.033925477
vitals_resprate_mean,0.026390724
labvalues_lactate_mean,0.023784671
vitals_dbp_mean,0.023305558
labvalues_hematocrit_mean,0.022515364
biometrics_bmi,0.02057059
labvalues_red_blood_cells_mean,0.020035654
biometrics_weight,0.018269395
labvalues_platelet_count_mean,0.017800294
vitals_sbp_coeff,0.015267739
labvalues_hemoglobin_max,0.014092079
labvalues_hematocrit_max,0.013957993
labvalues_alanine_aminotransferase_(alt)_mean,0.013891917
labvalues_albumin_mean_m,0.0136383
labvalues_rdw_mean,0.013178404
labvalues_creatine_kinase_(ck)_mean,0.012082321
labvalues_pt_max,0.01202815
vitals_dbp_first,0.011787091
vitals_o2sat_rate_change,0.011652582
labvalues_lymphocytes_mean,0.011265892
vitals_heartrate_coeff,0.01040027
vitals_temperature_mean_m,0.010222229
vitals_dbp_last,0.009743337
labvalues_albumin_mean,0.009673233
vitals_sbp_median,0.009135071
labvalues_potassium_mean,0.008995149
labvalues_hemoglobin_min,0.008940131
labvalues_white_blood_cells_last,0.008868852
labvalues_red_blood_cells_max,0.008164393
labvalues_pt_mean,0.008013572
vitals_sbp_min,0.007474556
biometrics_height,0.007438193
labvalues_bicarbonate_min,0.0071938313
labvalues_albumin_min,0.0071295025
labvalues_urea_nitrogen_mean,0.006947866
vitals_heartrate_rate_change,0.006622041
vitals_resprate_min,0.0064911167
labvalues_potassium_first,0.006146172
labvalues_white_blood_cells_mean,0.0061075515
vitals_resprate_median,0.006106986
labvalues_hemoglobin_first,0.0060292142
labvalues_ptt_mean,0.005744979
labvalues_lactate_min,0.0057003386
vitals_sbp_first,0.005204152
"labvalues_bilirubin,_total_mean",0.00508497
vitals_temperature_min,0.0050512925
vitals_heartrate_max,0.0050263815
vitals_dbp_median,0.0047379686
vitals_sbp_rate_change,0.0046689073
labvalues_bicarbonate_last,0.004649059
vitals_resprate_std,0.004529265
vitals_dbp_min,0.0044550844
labvalues_hemoglobin_rate_change,0.0044307616
labvalues_hemoglobin_mean,0.004406975
labvalues_platelet_count_first,0.004367982
vitals_o2sat_coeff,0.0043552257
labvalues_sodium_mean_m,0.0043485756
labvalues_chloride_min,0.004337514
vitals_heartrate_std,0.004333511
labvalues_alkaline_phosphatase_mean,0.00432235
labvalues_sodium_mean,0.00422722
labvalues_ptt_min,0.0040050973
vitals_sbp_last,0.0039743087
vitals_o2sat_first,0.0039423485
labvalues_pco2_max,0.003938324
